comparison,050,100,200,400,avgPerRouge

to050_R1,0.0,0.02,-0.15,-0.72,-0.2125
to050_R2,0.0,0.08,0.0,-0.36,-0.07
to050_RL,0.0,0.17,-0.2,-0.68,-0.1775
to050_RSU,0.0,0.0,-0.11,-0.79,-0.225
avgPerLen,0.000,0.067,-0.115,-0.638,-0.17125

to100_R1,0.0,0.0,-0.11,-0.66,-0.1925
to100_R2,-0.07,0.0,-0.05,-0.3,-0.105
to100_RL,0.02,0.0,-0.07,-0.61,-0.165
to100_RSU,-0.04,0.0,-0.09,-0.69,-0.205
avgPerLen,-0.023,0.000,-0.080,-0.565,-0.166875

to200_R1,0.02,-0.02,0.0,-0.44,-0.11
to200_R2,0.02,0.04,0.0,-0.11,-0.0125
to200_RL,0.04,-0.01,0.0,-0.42,-0.0975
to200_RSU,0.02,-0.02,0.0,-0.47,-0.1175
avgPerLen,0.025,-0.003,0.000,-0.360,-0.084375

to400_R1,0.02,-0.09,-0.07,0.0,-0.035
to400_R2,-0.02,0.02,0.0,0.0,0.0
to400_RL,-0.04,-0.07,-0.09,0.0,-0.05
to400_RSU,0.02,-0.09,-0.06,0.0,-0.0325
avgPerLen,-0.005,-0.058,-0.055,0.000,-0.029375

toOneShorter_R1,-999,0.02,-0.11,-0.44,-0.1325
toOneShorter_R2,-999,0.08,-0.05,-0.11,-0.02
toOneShorter_RL,-999,0.17,-0.07,-0.42,-0.08
toOneShorter_RSU,-999,0.0,-0.09,-0.47,-0.14
avgPerLen,0.000,0.067,-0.080,-0.360,-0.093125

toOneLonger_R1,0.0,-0.02,-0.07,-999,-0.0225
toOneLonger_R2,-0.07,0.04,0.0,-999,-0.0075
toOneLonger_RL,0.02,-0.01,-0.09,-999,-0.02
toOneLonger_RSU,-0.04,-0.02,-0.06,-999,-0.03
avgPerLen,-0.023,-0.003,-0.055,0.000,-0.02

diffLens3_R1,0.0,0.0,-0.11,-0.44,-0.1375
diffLens3_R2,0.0,0.0,-0.05,-0.18,-0.0575
diffLens3_RL,0.0,-0.05,-0.18,-0.42,-0.1625
diffLens3_RSU,-0.04,0.02,-0.06,-0.23,-0.0775
avgPerLen,-0.010,-0.008,-0.100,-0.318,-0.10875

diffLensAll_R1,0.04,-0.07,-0.18,-0.44,-0.1625
diffLensAll_R2,-0.02,0.02,0.0,-0.16,-0.04
diffLensAll_RL,-0.02,0.0,-0.18,-0.42,-0.155
diffLensAll_RSU,-0.02,-0.11,-0.09,-0.31,-0.1325
avgPerLen,-0.005,-0.040,-0.113,-0.333,-0.1225

