comparison,050,100,200,400,avgPerRouge

to050_R1,0.0,0.07,-0.12,-0.36,-0.1025
to050_R2,0.0,0.04,-0.01,-0.15,-0.03
to050_RL,0.0,0.02,-0.13,-0.35,-0.115
to050_RSU,0.0,0.04,-0.12,-0.35,-0.1075
avgPerLen,0.000,0.043,-0.095,-0.302,-0.08875

to100_R1,-0.02,0.0,-0.06,-0.32,-0.1
to100_R2,-0.08,0.0,0.01,-0.09,-0.04
to100_RL,-0.03,0.0,-0.05,-0.33,-0.1025
to100_RSU,-0.01,0.0,-0.07,-0.32,-0.1
avgPerLen,-0.035,0.000,-0.042,-0.265,-0.085625

to200_R1,-0.12,-0.1,0.0,-0.23,-0.1125
to200_R2,-0.15,-0.06,0.0,-0.07,-0.07
to200_RL,-0.15,-0.1,0.0,-0.24,-0.1225
to200_RSU,-0.11,-0.08,0.0,-0.22,-0.1025
avgPerLen,-0.133,-0.085,0.000,-0.190,-0.101875

to400_R1,-0.12,-0.21,-0.02,0.0,-0.0875
to400_R2,-0.16,-0.15,0.0,0.0,-0.0775
to400_RL,-0.17,-0.2,-0.01,0.0,-0.095
to400_RSU,-0.13,-0.15,-0.03,0.0,-0.0775
avgPerLen,-0.145,-0.177,-0.015,0.000,-0.084375

toOneShorter_R1,-999,0.07,-0.06,-0.23,-0.055
toOneShorter_R2,-999,0.04,0.01,-0.07,-0.005
toOneShorter_RL,-999,0.02,-0.05,-0.24,-0.0675
toOneShorter_RSU,-999,0.04,-0.07,-0.22,-0.0625
avgPerLen,0.000,0.043,-0.042,-0.190,-0.0475

toOneLonger_R1,-0.02,-0.1,-0.02,-999,-0.035
toOneLonger_R2,-0.08,-0.06,0.0,-999,-0.035
toOneLonger_RL,-0.03,-0.1,-0.01,-999,-0.035
toOneLonger_RSU,-0.01,-0.08,-0.03,-999,-0.03
avgPerLen,-0.035,-0.085,-0.015,0.000,-0.03375

diffLens3_R1,-0.09,-0.08,-0.04,-0.2,-0.1025
diffLens3_R2,-0.11,-0.07,0.0,-0.11,-0.0725
diffLens3_RL,-0.08,-0.1,-0.04,-0.21,-0.1075
diffLens3_RSU,-0.08,-0.07,-0.04,-0.15,-0.085
avgPerLen,-0.090,-0.080,-0.030,-0.167,-0.091875

diffLensAll_R1,-0.09,-0.07,-0.03,-0.18,-0.0925
diffLensAll_R2,-0.14,-0.06,0.01,-0.04,-0.0575
diffLensAll_RL,-0.14,-0.09,-0.05,-0.18,-0.115
diffLensAll_RSU,-0.11,-0.07,-0.02,-0.14,-0.085
avgPerLen,-0.120,-0.072,-0.022,-0.135,-0.0875

