comparison,050,100,200,400,avgPerRouge

to050_R1,0.0,0.13,-0.09,-0.32,-0.07
to050_R2,0.0,0.1,-0.02,-0.12,-0.01
to050_RL,0.0,0.09,-0.06,-0.28,-0.0625
to050_RSU,0.0,0.1,-0.11,-0.27,-0.07
avgPerLen,0.000,0.105,-0.070,-0.247,-0.053125

to100_R1,0.04,0.0,-0.01,-0.22,-0.0475
to100_R2,-0.07,0.0,0.02,-0.04,-0.0225
to100_RL,-0.02,0.0,0.0,-0.22,-0.06
to100_RSU,0.05,0.0,0.0,-0.2,-0.0375
avgPerLen,0.000,0.000,0.002,-0.170,-0.041875

to200_R1,0.1,-0.09,0.0,-0.11,-0.025
to200_R2,-0.07,-0.02,0.0,-0.06,-0.0375
to200_RL,-0.11,-0.08,0.0,-0.14,-0.0825
to200_RSU,-0.01,-0.11,0.0,-0.13,-0.0625
avgPerLen,-0.022,-0.075,0.000,-0.110,-0.051875

to400_R1,0.18,-0.24,-0.02,0.0,-0.02
to400_R2,-0.09,-0.07,-0.01,0.0,-0.0425
to400_RL,-0.12,-0.21,-0.02,0.0,-0.0875
to400_RSU,0.03,-0.19,0.0,0.0,-0.04
avgPerLen,-0.000,-0.177,-0.013,0.000,-0.0475

toOneShorter_R1,-999,0.13,-0.01,-0.11,0.0025
toOneShorter_R2,-999,0.1,0.02,-0.06,0.015
toOneShorter_RL,-999,0.09,0.0,-0.14,-0.0125
toOneShorter_RSU,-999,0.1,0.0,-0.13,-0.0075
avgPerLen,0.000,0.105,0.002,-0.110,-0.000625

toOneLonger_R1,0.04,-0.09,-0.02,-999,-0.0175
toOneLonger_R2,-0.07,-0.02,-0.01,-999,-0.025
toOneLonger_RL,-0.02,-0.08,-0.02,-999,-0.03
toOneLonger_RSU,0.05,-0.11,0.0,-999,-0.015
avgPerLen,0.000,-0.075,-0.013,0.000,-0.021875

diffLens3_R1,0.11,-0.1,0.0,-0.03,-0.005
diffLens3_R2,-0.05,-0.03,-0.02,-0.09,-0.0475
diffLens3_RL,-0.06,-0.17,0.0,-0.11,-0.085
diffLens3_RSU,0.03,-0.09,0.01,-0.06,-0.0275
avgPerLen,0.008,-0.098,-0.003,-0.072,-0.04125

diffLensAll_R1,0.08,-0.04,-0.01,-0.06,-0.0075
diffLensAll_R2,-0.09,-0.03,-0.02,-0.08,-0.055
diffLensAll_RL,-0.08,-0.07,0.0,-0.09,-0.06
diffLensAll_RSU,0.0,-0.14,-0.02,-0.06,-0.055
avgPerLen,-0.023,-0.070,-0.013,-0.073,-0.044375

