comparison,050,100,200,400,avgPerRouge

to050_R1,0.0,0.08,0.04,0.14,0.065
to050_R2,0.0,0.02,-0.01,-0.02,-0.0025
to050_RL,0.0,0.07,0.03,0.12,0.055
to050_RSU,0.0,0.06,0.04,0.15,0.0625
avgPerLen,0.000,0.057,0.025,0.098,0.045

to100_R1,-0.01,0.0,0.02,0.11,0.03
to100_R2,-0.04,0.0,0.02,-0.01,-0.0075
to100_RL,0.0,0.0,0.02,0.09,0.0275
to100_RSU,0.0,0.0,0.05,0.12,0.0425
avgPerLen,-0.012,0.000,0.027,0.078,0.023125

to200_R1,-0.09,-0.11,0.0,0.05,-0.0375
to200_R2,-0.15,-0.07,0.0,-0.01,-0.0575
to200_RL,-0.09,-0.11,0.0,0.03,-0.0425
to200_RSU,-0.11,-0.09,0.0,0.06,-0.035
avgPerLen,-0.110,-0.095,0.000,0.033,-0.043125

to400_R1,-0.11,-0.21,-0.04,0.0,-0.09
to400_R2,-0.17,-0.17,-0.01,0.0,-0.0875
to400_RL,-0.14,-0.21,-0.04,0.0,-0.0975
to400_RSU,-0.15,-0.17,-0.04,0.0,-0.09
avgPerLen,-0.143,-0.190,-0.033,0.000,-0.09125

toOneShorter_R1,-999,0.08,0.02,0.05,0.0375
toOneShorter_R2,-999,0.02,0.02,-0.01,0.0075
toOneShorter_RL,-999,0.07,0.02,0.03,0.03
toOneShorter_RSU,-999,0.06,0.05,0.06,0.0425
avgPerLen,0.000,0.057,0.027,0.033,0.029375

toOneLonger_R1,-0.01,-0.11,-0.04,-999,-0.04
toOneLonger_R2,-0.04,-0.07,-0.01,-999,-0.03
toOneLonger_RL,0.0,-0.11,-0.04,-999,-0.0375
toOneLonger_RSU,0.0,-0.09,-0.04,-999,-0.0325
avgPerLen,-0.012,-0.095,-0.033,0.000,-0.035

diffLens3_R1,-0.06,-0.09,0.01,0.04,-0.025
diffLens3_R2,-0.09,-0.07,0.01,-0.03,-0.045
diffLens3_RL,-0.03,-0.09,0.0,0.02,-0.025
diffLens3_RSU,-0.06,-0.07,0.01,0.02,-0.025
avgPerLen,-0.060,-0.080,0.008,0.013,-0.03

diffLensAll_R1,-0.06,-0.07,0.0,0.03,-0.025
diffLensAll_R2,-0.11,-0.07,0.01,-0.01,-0.045
diffLensAll_RL,-0.08,-0.07,0.01,0.03,-0.0275
diffLensAll_RSU,-0.08,-0.07,0.0,0.01,-0.035
avgPerLen,-0.083,-0.070,0.005,0.015,-0.033125

