comparison,010,050,100,200,avgPerRouge

to010_R1,0.0,0.0,-0.09,-0.09,-0.045
to010_R2,0.0,-0.11,-0.35,-0.31,-0.1925
to010_RL,0.0,0.04,0.0,-0.13,-0.0225
to010_RSU,0.0,0.04,0.0,-0.11,-0.0175
avgPerLen,0.000,-0.008,-0.110,-0.160,-0.069375

to050_R1,-0.13,0.0,-0.09,-0.18,-0.1
to050_R2,-0.13,0.0,-0.13,-0.09,-0.0875
to050_RL,-0.13,0.0,-0.09,-0.13,-0.0875
to050_RSU,-0.4,0.0,0.0,-0.09,-0.1225
avgPerLen,-0.198,0.000,-0.078,-0.122,-0.099375

to100_R1,-0.13,0.04,0.0,-0.09,-0.045
to100_R2,-0.13,0.05,0.0,-0.13,-0.0525
to100_RL,-0.13,0.09,0.0,-0.09,-0.0325
to100_RSU,-0.4,0.09,0.0,-0.04,-0.0875
avgPerLen,-0.198,0.068,0.000,-0.087,-0.054375

to200_R1,-0.13,0.0,-0.05,0.0,-0.045
to200_R2,-0.13,-0.09,-0.09,0.0,-0.0775
to200_RL,-0.13,0.0,-0.09,0.0,-0.055
to200_RSU,-0.4,0.04,0.0,0.0,-0.09
avgPerLen,-0.198,-0.013,-0.058,0.000,-0.066875

toOneShorter_R1,-999,0.0,-0.09,-0.09,-0.045
toOneShorter_R2,-999,-0.11,-0.13,-0.13,-0.0925
toOneShorter_RL,-999,0.04,-0.09,-0.09,-0.035
toOneShorter_RSU,-999,0.04,0.0,-0.04,5.20417042793e-18
avgPerLen,0.000,-0.008,-0.078,-0.087,-0.043125

toOneLonger_R1,-0.13,0.04,-0.05,-999,-0.035
toOneLonger_R2,-0.13,0.05,-0.09,-999,-0.0425
toOneLonger_RL,-0.13,0.09,-0.09,-999,-0.0325
toOneLonger_RSU,-0.4,0.09,0.0,-999,-0.0775
avgPerLen,-0.198,0.068,-0.058,0.000,-0.046875

diffLens2_R1,-0.13,0.0,-0.05,-0.14,-0.08
diffLens2_R2,0.0,0.05,-0.04,0.0,0.0025
diffLens2_RL,-0.13,0.0,-0.09,-0.09,-0.0775
diffLens2_RSU,-0.4,0.09,0.05,0.0,-0.065
avgPerLen,-0.165,0.035,-0.033,-0.057,-0.055

diffLensAll_R1,-0.13,0.04,0.04,-0.14,-0.0475
diffLensAll_R2,-0.13,-0.04,-0.09,0.0,-0.065
diffLensAll_RL,-0.13,0.04,-0.04,-0.09,-0.055
diffLensAll_RSU,-0.4,0.04,0.0,0.0,-0.09
avgPerLen,-0.198,0.020,-0.023,-0.057,-0.064375

