comparison,010,050,100,200,avgPerRouge

to010_R1,0.0,0.35,0.09,-0.09,0.0875
to010_R2,0.0,-0.04,-0.18,-0.14,-0.09
to010_RL,0.0,0.27,0.04,-0.04,0.0675
to010_RSU,0.0,0.31,0.18,0.0,0.1225
avgPerLen,0.000,0.223,0.033,-0.068,0.046875

to050_R1,0.0,0.0,0.0,0.09,0.0225
to050_R2,-0.26,0.0,0.0,0.09,-0.0425
to050_RL,0.0,0.0,-0.04,0.05,0.0025
to050_RSU,0.13,0.0,0.13,0.22,0.12
avgPerLen,-0.033,0.000,0.023,0.112,0.025625

to100_R1,0.0,0.0,0.0,0.13,0.0325
to100_R2,-0.26,-0.04,0.0,0.09,-0.0525
to100_RL,-0.13,0.04,0.0,0.09,2.77555756156e-17
to100_RSU,0.13,0.09,0.0,0.13,0.0875
avgPerLen,-0.065,0.023,0.000,0.110,0.016875

to200_R1,-0.13,0.0,-0.04,0.0,-0.0425
to200_R2,-0.4,0.0,-0.04,0.0,-0.11
to200_RL,-0.13,0.04,0.0,0.0,-0.0225
to200_RSU,-0.13,0.04,0.0,0.0,-0.0225
avgPerLen,-0.198,0.020,-0.020,0.000,-0.049375

toOneShorter_R1,-999,0.35,0.0,0.13,0.12
toOneShorter_R2,-999,-0.04,0.0,0.09,0.0125
toOneShorter_RL,-999,0.27,-0.04,0.09,0.08
toOneShorter_RSU,-999,0.31,0.13,0.13,0.1425
avgPerLen,0.000,0.223,0.023,0.110,0.08875

toOneLonger_R1,0.0,0.0,-0.04,-999,-0.01
toOneLonger_R2,-0.26,-0.04,-0.04,-999,-0.085
toOneLonger_RL,0.0,0.04,0.0,-999,0.01
toOneLonger_RSU,0.13,0.09,0.0,-999,0.055
avgPerLen,-0.033,0.023,-0.020,0.000,-0.0075

diffLens2_R1,0.27,0.09,-0.04,0.09,0.1025
diffLens2_R2,-0.4,-0.04,-0.09,0.09,-0.11
diffLens2_RL,0.14,0.09,0.09,0.05,0.0925
diffLens2_RSU,0.4,0.04,0.05,0.18,0.1675
avgPerLen,0.102,0.045,0.003,0.102,0.063125

diffLensAll_R1,0.0,0.04,0.0,0.04,0.02
diffLensAll_R2,-0.4,0.05,-0.04,0.13,-0.065
diffLensAll_RL,0.14,0.13,0.0,0.0,0.0675
diffLensAll_RSU,0.27,0.04,0.09,0.04,0.11
avgPerLen,0.002,0.065,0.013,0.052,0.033125

