ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00353,0.00275,0.00539,0.01037,0.00309,0.00237,0.00466,0.0095,0.00329,0.00254,0.005,0.00988
RW,0.09064,0.09693,0.10413,0.10697,0.13108,0.14265,0.15621,0.17368,0.10706,0.11534,0.1249,0.13172
R1,0.24054,0.29266,0.34948,0.39949,0.20657,0.25237,0.30288,0.37211,0.2221,0.27093,0.32446,0.3831
R2,0.03831,0.04029,0.05941,0.07987,0.03346,0.03467,0.05147,0.07447,0.0357,0.03725,0.05515,0.07665
R3,0.01096,0.00967,0.01445,0.02226,0.00965,0.00834,0.01251,0.02054,0.01026,0.00895,0.01341,0.02126
RL,0.20868,0.26261,0.32548,0.37923,0.1792,0.22629,0.28204,0.35322,0.19267,0.24301,0.30216,0.36366
RSU,0.05969,0.08203,0.11939,0.15769,0.04476,0.06132,0.08998,0.13746,0.05103,0.07008,0.10255,0.1436
RS,0.05144,0.07724,0.1168,0.15633,0.03844,0.05758,0.0879,0.13621,0.04388,0.06589,0.10024,0.14231


2
R4,0.01158,0.01854,0.02375,0.03043,0.00982,0.01577,0.02055,0.03733,0.01062,0.01704,0.02202,0.03301
RW,0.10338,0.11244,0.12292,0.10662,0.14802,0.16472,0.18423,0.22575,0.1216,0.13357,0.14735,0.1431
R1,0.27949,0.33275,0.40927,0.39368,0.23756,0.28532,0.35444,0.47741,0.25661,0.30711,0.37973,0.42562
R2,0.05719,0.07011,0.10048,0.11352,0.0487,0.0601,0.08699,0.13787,0.05256,0.0647,0.09321,0.12278
R3,0.02261,0.03014,0.04103,0.05033,0.0192,0.02572,0.03545,0.06125,0.02075,0.02775,0.03802,0.05445
RL,0.23637,0.29902,0.37607,0.36995,0.20079,0.2563,0.32565,0.44905,0.21694,0.27592,0.3489,0.40012
RSU,0.07977,0.10591,0.16007,0.15124,0.05811,0.07821,0.12026,0.21688,0.06703,0.08986,0.13712,0.16923
RS,0.07064,0.10078,0.15727,0.14988,0.05116,0.0742,0.11798,0.21502,0.05915,0.08536,0.13461,0.16769


L
R4,0.00412,0.0146,0.01684,0.03254,0.00399,0.01301,0.01478,0.02854,0.00402,0.01376,0.01574,0.03041
RW,0.09173,0.11025,0.119,0.13045,0.14868,0.16635,0.1813,0.19984,0.11263,0.13251,0.14362,0.15782
R1,0.23991,0.32792,0.39435,0.47826,0.23191,0.28939,0.34702,0.4198,0.23426,0.30732,0.36908,0.44706
R2,0.03981,0.06289,0.08985,0.13515,0.03941,0.05569,0.07903,0.11855,0.03929,0.05905,0.08407,0.12629
R3,0.01147,0.02357,0.03167,0.0551,0.01126,0.02101,0.02778,0.0483,0.01129,0.02221,0.02959,0.05147
RL,0.20891,0.29381,0.36316,0.45252,0.20074,0.25921,0.31958,0.3972,0.20345,0.27531,0.33989,0.42299
RSU,0.05795,0.1031,0.14838,0.21642,0.05488,0.08086,0.11529,0.16707,0.05494,0.0905,0.12963,0.18846
RS,0.04963,0.09803,0.14561,0.21495,0.04685,0.0767,0.113,0.16582,0.04694,0.08593,0.12712,0.1871


M
R4,0.00174,0.00378,0.01181,0.02706,0.00148,0.00322,0.01088,0.02518,0.0016,0.00348,0.01131,0.02607
RW,0.08862,0.09962,0.10868,0.12397,0.12754,0.14772,0.16979,0.20059,0.10443,0.11883,0.13234,0.15317
R1,0.23917,0.30039,0.36705,0.45779,0.20496,0.26131,0.33152,0.42497,0.22045,0.27925,0.348,0.4406
R2,0.03401,0.04454,0.07239,0.12182,0.02957,0.03881,0.06616,0.11325,0.03159,0.04144,0.06905,0.11733
R3,0.00709,0.01066,0.02318,0.0468,0.00621,0.00923,0.02135,0.0436,0.00661,0.00989,0.0222,0.04513
RL,0.20329,0.26821,0.33619,0.43205,0.17389,0.23332,0.3037,0.40109,0.18718,0.24933,0.31877,0.41584
RSU,0.05564,0.08579,0.12918,0.1989,0.04146,0.06508,0.10642,0.17165,0.04728,0.07378,0.11617,0.18399
RS,0.04727,0.08092,0.1265,0.19744,0.03507,0.0612,0.10413,0.17032,0.04006,0.06947,0.11371,0.1826


N
R4,0.00807,0.01417,0.01896,0.03201,0.00649,0.01114,0.01506,0.02552,0.00719,0.01247,0.01678,0.02839
RW,0.09788,0.11139,0.11992,0.13056,0.12687,0.14976,0.16474,0.18156,0.11037,0.12763,0.13871,0.15183
R1,0.26735,0.33425,0.40174,0.48439,0.20581,0.26287,0.31882,0.38629,0.23235,0.29415,0.3554,0.42973
R2,0.04362,0.06847,0.09269,0.13482,0.03405,0.05391,0.07357,0.10746,0.03821,0.0603,0.08201,0.11957
R3,0.01429,0.0247,0.03448,0.05478,0.01139,0.01947,0.02738,0.04365,0.01267,0.02176,0.03052,0.04857
RL,0.22545,0.29596,0.36896,0.45548,0.1736,0.23259,0.29277,0.36319,0.19596,0.26035,0.32638,0.40405
RSU,0.06808,0.10612,0.15212,0.22231,0.04121,0.06615,0.09622,0.14168,0.05117,0.08137,0.11775,0.17294
RS,0.05898,0.10097,0.14931,0.22084,0.03547,0.06266,0.09423,0.14059,0.04414,0.0772,0.11542,0.17168


O
R4,0.00336,0.00629,0.01236,0.02186,0.00288,0.0054,0.01087,0.02066,0.00309,0.00581,0.01156,0.02092
RW,0.09592,0.10681,0.11245,0.11973,0.13784,0.15604,0.17332,0.19347,0.11301,0.12672,0.13589,0.14597
R1,0.25265,0.31628,0.37612,0.44247,0.21514,0.27066,0.33422,0.40877,0.2322,0.29159,0.35248,0.41841
R2,0.04442,0.054,0.07553,0.10904,0.0378,0.04627,0.06728,0.10146,0.04081,0.04982,0.07086,0.10345
R3,0.01266,0.01506,0.0245,0.03926,0.01082,0.01293,0.02171,0.03671,0.01165,0.01391,0.02295,0.03737
RL,0.22011,0.28847,0.34773,0.41736,0.18761,0.24667,0.30892,0.38545,0.2024,0.26584,0.32583,0.3946
RSU,0.06403,0.09526,0.13713,0.19409,0.04701,0.07006,0.1081,0.16221,0.05406,0.08063,0.11918,0.16954
RS,0.05549,0.09028,0.13445,0.19269,0.04054,0.0662,0.1058,0.16079,0.04672,0.07628,0.11673,0.16822


P
R4,0.00706,0.01174,0.01712,0.0326,0.00676,0.0101,0.01466,0.02793,0.0069,0.01085,0.01579,0.03008
RW,0.09926,0.1127,0.12205,0.13321,0.14717,0.16488,0.18088,0.19943,0.11838,0.13379,0.14565,0.15969
R1,0.265,0.3361,0.40941,0.4901,0.233,0.2879,0.35076,0.42054,0.24762,0.31002,0.3777,0.4526
R2,0.04814,0.06684,0.09214,0.13777,0.04327,0.05748,0.07886,0.11809,0.0455,0.06178,0.08495,0.12716
R3,0.01695,0.02251,0.03187,0.05687,0.0157,0.01941,0.02724,0.04872,0.01627,0.02084,0.02936,0.05248
RL,0.22578,0.30218,0.37532,0.46214,0.19857,0.25874,0.32147,0.39658,0.211,0.27867,0.3462,0.4268
RSU,0.0706,0.10919,0.16031,0.22985,0.05596,0.08062,0.11803,0.16967,0.06211,0.09262,0.13578,0.19512
RS,0.06178,0.10406,0.1575,0.22839,0.04891,0.07661,0.11579,0.16846,0.05431,0.08812,0.13329,0.19379


R
R4,0.00961,0.01231,0.0186,0.01808,0.00981,0.01176,0.01717,0.02623,0.00957,0.01198,0.01781,0.0211
RW,0.09606,0.10947,0.1141,0.0884,0.15592,0.17413,0.19179,0.23514,0.11726,0.1337,0.14213,0.12614
R1,0.25012,0.32774,0.37633,0.32423,0.2416,0.3047,0.36497,0.49293,0.24228,0.31394,0.36803,0.38243
R2,0.04994,0.06536,0.08872,0.085,0.04912,0.06161,0.08533,0.12935,0.04885,0.06301,0.08643,0.10041
R3,0.01848,0.02263,0.03253,0.0316,0.01867,0.0216,0.03046,0.04671,0.01829,0.02197,0.03133,0.03704
RL,0.21701,0.2936,0.34955,0.30567,0.20808,0.27301,0.33904,0.46416,0.20956,0.28125,0.34187,0.36042
RSU,0.06353,0.10402,0.13707,0.10607,0.06023,0.08969,0.12734,0.23065,0.05862,0.09432,0.12873,0.13546
