ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00281,0.00539,0.00663,-,0.00242,0.00466,0.00572,-,0.0026,0.00499,0.00614,-
RW,0.09131,0.09796,0.10627,-,0.13418,0.14638,0.15997,-,0.10853,0.11727,0.12766,-
R1,0.24934,0.29697,0.35411,-,0.21554,0.25717,0.30601,-,0.23109,0.27554,0.32827,-
R2,0.03913,0.04765,0.06202,-,0.03391,0.04118,0.05353,-,0.03632,0.04416,0.05746,-
R3,0.0103,0.01356,0.01548,-,0.00893,0.01173,0.01336,-,0.00956,0.01258,0.01434,-
RL,0.21242,0.26663,0.33122,-,0.18354,0.23085,0.28621,-,0.19683,0.24736,0.30704,-
RSU,0.06311,0.08565,0.12171,-,0.04761,0.06454,0.09107,-,0.05417,0.0735,0.10413,-
RS,0.05478,0.0809,0.11909,-,0.04112,0.06079,0.08898,-,0.04689,0.06931,0.1018,-


2
R4,0.01518,0.02194,0.02535,-,0.0129,0.0187,0.02203,-,0.01395,0.02018,0.02357,-
RW,0.11041,0.11387,0.123,-,0.16107,0.16944,0.18521,-,0.13087,0.13611,0.14774,-
R1,0.29547,0.343,0.4117,-,0.25349,0.29511,0.35596,-,0.27277,0.31712,0.38167,-
R2,0.06713,0.07933,0.10209,-,0.05745,0.06821,0.08839,-,0.06189,0.07332,0.09471,-
R3,0.02904,0.03511,0.04302,-,0.02472,0.03002,0.03731,-,0.02669,0.03235,0.03995,-
RL,0.25521,0.30628,0.37942,-,0.21886,0.26346,0.32805,-,0.23555,0.28314,0.35175,-
RSU,0.08814,0.11608,0.1606,-,0.06524,0.08615,0.12027,-,0.07488,0.09872,0.13737,-
RS,0.07883,0.11099,0.15777,-,0.058,0.08212,0.11797,-,0.06673,0.09423,0.13483,-


L
R4,0.01297,0.01541,0.02258,-,0.0124,0.01363,0.01997,-,0.01264,0.01446,0.02119,-
RW,0.09513,0.10977,0.12069,-,0.15727,0.16814,0.1848,-,0.11778,0.13274,0.14597,-
R1,0.25205,0.33186,0.3986,-,0.24571,0.29388,0.35,-,0.24735,0.31159,0.37265,-
R2,0.04928,0.06824,0.09681,-,0.0485,0.06017,0.08516,-,0.04858,0.06393,0.09059,-
R3,0.01888,0.02651,0.03799,-,0.01817,0.02336,0.03351,-,0.01846,0.02482,0.0356,-
RL,0.2152,0.29368,0.37,-,0.20911,0.2601,0.32489,-,0.21088,0.27576,0.34591,-
RSU,0.06602,0.10613,0.15191,-,0.06293,0.08358,0.11756,-,0.06301,0.09337,0.13245,-
RS,0.05758,0.10103,0.14913,-,0.05463,0.07938,0.11527,-,0.0548,0.08877,0.12994,-


M
R4,0.00142,0.00712,0.01256,-,0.00123,0.0061,0.0114,-,0.00131,0.00656,0.01194,-
RW,0.09179,0.104,0.10928,-,0.13449,0.15649,0.17099,-,0.10895,0.12479,0.1332,-
R1,0.24879,0.31353,0.36949,-,0.215,0.27393,0.3319,-,0.23049,0.29217,0.34937,-
R2,0.035,0.0536,0.07365,-,0.03021,0.0467,0.06646,-,0.03241,0.04988,0.06981,-
R3,0.00655,0.01581,0.02412,-,0.00575,0.01366,0.02187,-,0.00612,0.01465,0.02292,-
RL,0.21684,0.28191,0.34073,-,0.18731,0.24629,0.30611,-,0.20084,0.2627,0.3222,-
RSU,0.0581,0.09233,0.12791,-,0.04362,0.07052,0.10385,-,0.0497,0.07973,0.11422,-
RS,0.0496,0.08734,0.12519,-,0.03701,0.0665,0.10154,-,0.04228,0.07528,0.11172,-


N
R4,0.00743,0.01335,0.02072,-,0.00585,0.01056,0.01647,-,0.00654,0.01179,0.01835,-
RW,0.09803,0.10887,0.12043,-,0.12911,0.14863,0.16608,-,0.11131,0.12556,0.13955,-
R1,0.27233,0.33473,0.40617,-,0.21103,0.26416,0.32146,-,0.23765,0.29514,0.35881,-
R2,0.04911,0.06785,0.09717,-,0.03792,0.05358,0.07692,-,0.04277,0.05985,0.08585,-
R3,0.0157,0.02462,0.03731,-,0.01227,0.01947,0.02962,-,0.01376,0.02174,0.03302,-
RL,0.23048,0.29316,0.37294,-,0.1786,0.2313,0.29511,-,0.20112,0.25846,0.32943,-
RSU,0.07035,0.10669,0.15398,-,0.04279,0.06689,0.0968,-,0.0531,0.08209,0.11879,-
RS,0.06123,0.10157,0.15113,-,0.03694,0.06341,0.0948,-,0.04598,0.07794,0.11643,-


O
R4,0.00396,0.00586,0.01208,-,0.00339,0.00519,0.01046,-,0.00366,0.0055,0.0112,-
RW,0.09996,0.10255,0.11381,-,0.14534,0.15228,0.17545,-,0.11831,0.12245,0.13756,-
R1,0.26109,0.31111,0.38238,-,0.22402,0.26721,0.33838,-,0.24101,0.28735,0.3576,-
R2,0.04484,0.05029,0.07775,-,0.03834,0.04348,0.06855,-,0.04132,0.04661,0.07261,-
R3,0.00996,0.01301,0.02477,-,0.00851,0.01135,0.02167,-,0.00918,0.01211,0.02307,-
RL,0.23181,0.2798,0.35499,-,0.19875,0.24036,0.31387,-,0.2139,0.25846,0.33186,-
RSU,0.06682,0.09408,0.14116,-,0.04944,0.06972,0.10993,-,0.05672,0.07994,0.12195,-
RS,0.0581,0.0892,0.13844,-,0.04272,0.06592,0.1076,-,0.04914,0.07567,0.11948,-


P
R4,0.00902,0.01356,0.01905,-,0.00822,0.01173,0.01637,-,0.00859,0.01258,0.0176,-
RW,0.10028,0.11468,0.12091,-,0.15095,0.17055,0.18018,-,0.12027,0.13702,0.14464,-
R1,0.26798,0.34671,0.40354,-,0.23714,0.29816,0.34515,-,0.25132,0.32045,0.37198,-
R2,0.05132,0.07364,0.09195,-,0.04593,0.06349,0.07866,-,0.04842,0.06815,0.08476,-
R3,0.01713,0.02584,0.03388,-,0.01559,0.02229,0.02905,-,0.0163,0.02392,0.03127,-
RL,0.23038,0.30881,0.37262,-,0.20379,0.26549,0.31874,-,0.21601,0.28538,0.34349,-
RSU,0.07328,0.11347,0.15602,-,0.05836,0.08443,0.11449,-,0.06469,0.09663,0.13194,-
RS,0.06455,0.10823,0.15323,-,0.05126,0.0803,0.11226,-,0.05688,0.09201,0.12946,-


R
R4,0.01574,0.01349,0.01841,-,0.01895,0.01301,0.0171,-,0.01682,0.01317,0.01769,-
RW,0.10104,0.10831,0.11377,-,0.16881,0.17574,0.19176,-,0.12444,0.13324,0.14197,-
R1,0.26613,0.32656,0.3828,-,0.26093,0.30608,0.37002,-,0.25927,0.31401,0.37392,-
R2,0.05828,0.06674,0.09063,-,0.05975,0.06344,0.08662,-,0.05795,0.06454,0.0881,-
R3,0.02449,0.02315,0.0324,-,0.0271,0.02216,0.03033,-,0.0252,0.02248,0.03122,-
RL,0.22907,0.29259,0.35392,-,0.22435,0.2743,0.34191,-,0.2231,0.28138,0.34563,-
RSU,0.07361,0.10314,0.13978,-,0.07409,0.09111,0.12901,-,0.06932,0.09443,0.13109,-
RS,0.065,0.09809,0.13704,-,0.06546,0.08645,0.12632,-,0.0611,0.08967,0.12841,-


S
R4,0.01312,0.01695,0.02371,-,0.01912,0.01769,0.02119,-,0.01551,0.01722,0.02238,-
RW,0.07854,0.09748,0.11838,-,0.16784,0.17021,0.18437,-,0.10578,0.12334,0.14411,-
R1,0.20655,0.29696,0.39844,-,0.25924,0.29831,0.35591,-,0.22697,0.29605,0.37584,-
R2,0.0438,0.06271,0.09607,-,0.05717,0.06408,0.08584,-,0.04904,0.06305,0.09064,-
R3,0.01779,0.02636,0.03926,-,0.02453,0.02724,0.03512,-,0.02047,0.02665,0.03706,-
RL,0.17302,0.25766,0.36625,-,0.21609,0.25918,0.32718,-,0.18976,0.25703,0.34549,-
RSU,0.04659,0.08458,0.14784,-,0.07346,0.08532,0.11822,-,0.05448,0.08328,0.13119,-
RS,0.03942,0.07981,0.14502,-,0.06246,0.08041,0.11582,-,0.04609,0.07851,0.1286,-


T
R4,0.01296,0.01407,0.02208,-,0.01293,0.01347,0.0209,-,0.01293,0.01375,0.02147,-
RW,0.11123,0.11225,0.12096,-,0.18431,0.18469,0.19898,-,0.13845,0.13947,0.15041,-
