ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.00461,0.00631,0.01027,0.0,0.00389,0.0042,0.00466,0.0,0.00421,0.00504,0.00641
RW,0.07427,0.09107,0.10688,0.13024,0.11609,0.13158,0.12413,0.10585,0.0885,0.10751,0.11476,0.11672
R1,0.1262,0.24374,0.31638,0.41495,0.12796,0.20841,0.21317,0.19095,0.12413,0.22444,0.25455,0.26146
R2,0.0193,0.0402,0.05615,0.08442,0.02234,0.03394,0.03759,0.03861,0.02027,0.03677,0.04501,0.05298
R3,0.00261,0.01188,0.01587,0.02467,0.00338,0.00998,0.01062,0.01124,0.0029,0.01083,0.01272,0.01544
RL,0.11665,0.20673,0.27552,0.37198,0.11774,0.17686,0.18549,0.17114,0.11442,0.1904,0.22157,0.23436
RSU,0.02896,0.05595,0.08744,0.14577,0.03252,0.04842,0.05293,0.0498,0.02845,0.0517,0.06579,0.07417
RS,0.01082,0.04827,0.0823,0.14216,0.014,0.04174,0.0497,0.04841,0.01149,0.04458,0.06183,0.07215


19
R4,0.00514,0.01142,0.01487,0.01976,0.00478,0.00955,0.01019,0.00904,0.00488,0.01037,0.01207,0.01239
RW,0.11945,0.11428,0.12789,0.15019,0.21277,0.15978,0.14984,0.12269,0.14754,0.13262,0.13765,0.13482
R1,0.22338,0.29531,0.36381,0.46012,0.2518,0.24533,0.24697,0.21275,0.22793,0.26687,0.29363,0.29062
R2,0.06479,0.07011,0.08708,0.11805,0.07931,0.05896,0.0591,0.05433,0.0675,0.06375,0.07028,0.07433
R3,0.0152,0.02562,0.03085,0.04251,0.01488,0.02145,0.02105,0.01952,0.01483,0.02327,0.02498,0.02673
RL,0.19364,0.25929,0.32972,0.42508,0.22057,0.21495,0.22373,0.19651,0.19803,0.23408,0.26605,0.26845
RSU,0.06806,0.08029,0.11622,0.17714,0.09618,0.06627,0.07134,0.06111,0.06874,0.07141,0.08776,0.09049
RS,0.03941,0.07149,0.11069,0.17334,0.05157,0.05894,0.06777,0.0596,0.03914,0.06352,0.08345,0.08832


2
R4,-,0.00824,0.00901,0.01041,-,0.00733,0.0059,0.00485,-,0.00769,0.00713,0.00661
RW,-,0.08999,0.10755,0.1249,-,0.13345,0.12442,0.10351,-,0.10675,0.11521,0.11301
R1,-,0.22612,0.30042,0.38039,-,0.19911,0.20149,0.1783,-,0.21026,0.24097,0.24247
R2,-,0.04242,0.05705,0.07394,-,0.03802,0.03801,0.03456,-,0.03977,0.04558,0.04705
R3,-,0.01477,0.01806,0.02237,-,0.01337,0.01193,0.01041,-,0.0139,0.01435,0.0142
RL,-,0.19966,0.27626,0.35538,-,0.17536,0.18533,0.16654,-,0.18543,0.22162,0.22649
RSU,-,0.04881,0.08108,0.12574,-,0.04455,0.04842,0.04474,-,0.04537,0.0604,0.06568
RS,-,0.04162,0.07616,0.12233,-,0.0378,0.04535,0.04339,-,0.03857,0.05663,0.06374


20
