ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,0.0,0.00406,0.00514,0.00925,0.0,0.00435,0.00528,0.00475,0.0,0.0042,0.00521,0.00628
RW,0.07016,0.08627,0.09974,0.14319,0.1101,0.15433,0.17061,0.12355,0.08346,0.11053,0.12578,0.13253
R1,0.12034,0.24191,0.30345,0.44632,0.124,0.25941,0.31158,0.23057,0.11909,0.25004,0.30728,0.30393
R2,0.0122,0.03958,0.05339,0.08631,0.0137,0.04213,0.05475,0.0444,0.01256,0.04078,0.05404,0.05861
R3,0.00102,0.01134,0.01432,0.02339,0.00108,0.01209,0.01474,0.01205,0.00105,0.01169,0.01452,0.0159
RL,0.11147,0.1999,0.26717,0.39713,0.11307,0.21465,0.27408,0.20508,0.10938,0.20673,0.27043,0.27036
RSU,0.02634,0.05494,0.0848,0.18341,0.03023,0.06281,0.08926,0.04928,0.02591,0.05834,0.08678,0.07758
RS,0.00929,0.04765,0.0805,0.17831,0.01237,0.05455,0.08477,0.04747,0.00986,0.05063,0.08239,0.07488


19
R4,0.00224,0.01163,0.01284,0.02055,0.00251,0.01247,0.0133,0.01067,0.00237,0.01199,0.01306,0.01403
RW,0.11148,0.10986,0.1153,0.16663,0.19558,0.1904,0.19874,0.14446,0.13769,0.13866,0.14559,0.15443
R1,0.21421,0.2937,0.34348,0.50542,0.23745,0.30692,0.35507,0.2623,0.21816,0.29878,0.34848,0.34487
R2,0.05676,0.07315,0.07938,0.12689,0.06364,0.07765,0.0822,0.06566,0.05887,0.07493,0.08062,0.08641
R3,0.01022,0.02549,0.02693,0.04466,0.011,0.02706,0.02784,0.02315,0.01052,0.02614,0.02735,0.03045
RL,0.18135,0.25795,0.31114,0.46103,0.20318,0.26861,0.32142,0.23927,0.18517,0.26205,0.31558,0.31458
RSU,0.06073,0.07933,0.11048,0.23665,0.0782,0.0872,0.11776,0.06428,0.0607,0.08161,0.11318,0.10068
RS,0.03409,0.071,0.10589,0.23143,0.03575,0.07812,0.1129,0.0623,0.03318,0.07304,0.10849,0.09775


2
R4,-,0.00633,0.00802,0.01048,-,0.00711,0.00821,0.00562,-,0.00665,0.00811,0.00731
RW,-,0.08348,0.09686,0.13736,-,0.15296,0.16493,0.12084,-,0.10729,0.12188,0.12833
R1,-,0.21732,0.28337,0.40939,-,0.23981,0.28982,0.21565,-,0.22648,0.28623,0.28205
R2,-,0.03674,0.05253,0.07578,-,0.04074,0.0537,0.04002,-,0.03838,0.05304,0.0523
R3,-,0.01136,0.01583,0.02308,-,0.01292,0.01617,0.01228,-,0.012,0.01598,0.01601
RL,-,0.18909,0.26,0.37826,-,0.20827,0.26584,0.1992,-,0.19692,0.26259,0.26055
RSU,-,0.04742,0.07724,0.1625,-,0.05712,0.08057,0.04572,-,0.05058,0.07853,0.071
RS,-,0.04084,0.07321,0.15773,-,0.04906,0.07637,0.04399,-,0.04349,0.07443,0.06845


20
