ROUGE_type,010_r,050_r,100_r,200_r,010_p,050_p,100_p,200_p,010_f,050_f,100_f,200_f

16
R4,-,0.00403,0.0046,0.00925,-,0.0005,0.00238,0.00475,-,0.00089,0.00314,0.00628
RW,-,0.15734,0.12907,0.14319,-,0.05099,0.11201,0.12355,-,0.07674,0.11976,0.13253
R1,-,0.31542,0.35949,0.44632,-,0.06724,0.18958,0.23057,-,0.11056,0.24804,0.30393
R2,-,0.05717,0.06315,0.08631,-,0.01078,0.0331,0.0444,-,0.01809,0.0434,0.05861
R3,-,0.01295,0.01518,0.02339,-,0.00204,0.00793,0.01205,-,0.00351,0.01041,0.0159
RL,-,0.2625,0.30743,0.39713,-,0.05596,0.16223,0.20508,-,0.09202,0.2122,0.27036
RSU,-,0.11547,0.12127,0.18341,-,0.00564,0.0341,0.04928,-,0.01072,0.0531,0.07758
RS,-,0.07483,0.11206,0.17831,-,0.0032,0.03096,0.04747,-,0.00611,0.0484,0.07488


19
R4,-,0.01164,0.01267,0.02055,-,0.00193,0.00672,0.01067,-,0.0033,0.00875,0.01403
RW,-,0.19725,0.15384,0.16663,-,0.06227,0.13487,0.14446,-,0.09414,0.14324,0.15443
R1,-,0.38846,0.41267,0.50542,-,0.08062,0.22,0.2623,-,0.13308,0.28637,0.34487
R2,-,0.09778,0.096,0.12689,-,0.01863,0.05104,0.06566,-,0.03118,0.0665,0.08641
R3,-,0.02578,0.03212,0.04466,-,0.00464,0.01711,0.02315,-,0.00784,0.02227,0.03045
RL,-,0.3375,0.36661,0.46103,-,0.06975,0.19537,0.23927,-,0.11522,0.25433,0.31458
RSU,-,0.17562,0.15792,0.23665,-,0.00816,0.04545,0.06428,-,0.01552,0.07014,0.10068
RS,-,0.13219,0.14807,0.23143,-,0.00535,0.04188,0.0623,-,0.01024,0.06488,0.09775


2
R4,-,0.01544,0.00908,0.01048,-,0.00268,0.00456,0.00562,-,0.00453,0.00606,0.00731
RW,-,0.18594,0.13062,0.13736,-,0.06253,0.1131,0.12084,-,0.09263,0.12104,0.12833
R1,-,0.3482,0.34351,0.40939,-,0.07721,0.18065,0.21565,-,0.12554,0.2365,0.28205
R2,-,0.08295,0.06523,0.07578,-,0.01742,0.03413,0.04002,-,0.02859,0.04476,0.0523
R3,-,0.02803,0.01987,0.02308,-,0.00545,0.01025,0.01228,-,0.00905,0.01351,0.01601
RL,-,0.30836,0.30923,0.37826,-,0.06786,0.16272,0.1992,-,0.1105,0.21299,0.26055
RSU,-,0.14106,0.11416,0.1625,-,0.00759,0.0318,0.04572,-,0.01426,0.04957,0.071
RS,-,0.10063,0.10526,0.15773,-,0.00475,0.02879,0.04399,-,0.00899,0.04505,0.06845


20
R4,-,0.00435,0.00651,0.01463,-,0.00092,0.0036,0.00737,-,0.00151,0.00462,0.0098
RW,-,0.16281,0.13904,0.15933,-,0.06377,0.12719,0.13512,-,0.0899,0.13233,0.14613
R1,-,0.31995,0.37073,0.476,-,0.08183,0.20606,0.24131,-,0.1286,0.26411,0.32018
