Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.02098,0.01692,0.02258,0.0294
100,0.00953,0.0106,0.01619,0.02347
200,0.00601,0.01059,0.01601,0.02862
400,0.00305,0.00834,0.01836,0.03359

RW,050,100,200,400
050,0.20618,0.25288,0.31369,0.34417
100,0.13772,0.19537,0.25863,0.29154
200,0.0943,0.14131,0.21082,0.26949
400,0.05618,0.09519,0.15948,0.23783

R1,050,100,200,400
050,0.34039,0.43501,0.55887,0.64245
100,0.23338,0.34689,0.50783,0.61419
200,0.14938,0.24382,0.41627,0.58211
400,0.08974,0.16507,0.30957,0.50717

R2,050,100,200,400
050,0.08151,0.09066,0.12858,0.16
100,0.04616,0.06789,0.1121,0.15923
200,0.03504,0.06017,0.09752,0.15045
400,0.02331,0.04897,0.09551,0.15449

R3,050,100,200,400
050,0.03633,0.03352,0.0489,0.06086
100,0.02143,0.02247,0.03695,0.05391
200,0.01246,0.02161,0.03379,0.05394
400,0.00734,0.01798,0.03697,0.06143

RL,050,100,200,400
050,0.29825,0.3958,0.52347,0.61148
100,0.20812,0.31777,0.46207,0.57025
200,0.13771,0.23171,0.39275,0.5521
400,0.08203,0.15588,0.29115,0.48422

RSU,050,100,200,400
050,0.11065,0.17736,0.29947,0.39448
100,0.05256,0.11355,0.24357,0.36385
200,0.02109,0.05763,0.16311,0.32173
400,0.00766,0.02636,0.09325,0.248

RS,050,100,200,400
050,0.10156,0.16718,0.28909,0.38465
100,0.04913,0.10909,0.23848,0.35903
200,0.01986,0.05583,0.16065,0.3192
400,0.00726,0.02568,0.09218,0.24671

