Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.01113,0.00469,0.00327,0.0028
100,0.00655,0.00494,0.00835,0.00882
200,0.00355,0.00477,0.00952,0.01447
400,0.00316,0.0046,0.01217,0.01878

RW,050,100,200,400
050,0.12433,0.08862,0.06115,0.03939
100,0.14706,0.12804,0.10217,0.06937
200,0.12559,0.14339,0.15147,0.11816
400,0.08914,0.11801,0.1577,0.1611

R1,050,100,200,400
050,0.25603,0.22873,0.17123,0.12538
100,0.27813,0.30796,0.29056,0.22753
200,0.22921,0.32094,0.40329,0.38061
400,0.15046,0.24329,0.38484,0.482

R2,050,100,200,400
050,0.05329,0.03211,0.02925,0.0289
100,0.05574,0.05007,0.05645,0.05493
200,0.05341,0.06893,0.09043,0.10128
400,0.03878,0.05876,0.09471,0.12764

R3,050,100,200,400
050,0.0203,0.00926,0.00681,0.00649
100,0.01739,0.01256,0.01696,0.01822
200,0.01354,0.01565,0.02315,0.03258
400,0.00944,0.01552,0.02878,0.0425

RL,050,100,200,400
050,0.22895,0.20063,0.15886,0.11637
100,0.26046,0.28851,0.27491,0.21405
200,0.21141,0.29663,0.38381,0.35769
400,0.1404,0.22461,0.36166,0.45561

RSU,050,100,200,400
050,0.062,0.04674,0.02112,0.0095
100,0.06604,0.09221,0.07556,0.03728
200,0.03744,0.09071,0.15644,0.12424
400,0.01372,0.04271,0.12913,0.22039

RS,050,100,200,400
050,0.05438,0.04251,0.01944,0.00887
100,0.06111,0.08803,0.07309,0.03619
200,0.03529,0.08805,0.15407,0.12274
400,0.01299,0.04156,0.12764,0.21911

