Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.01086,0.0033,0.00195,0.00154
100,0.00987,0.00494,0.00623,0.00551
200,0.00882,0.00717,0.00945,0.01087
400,0.01418,0.01163,0.01821,0.01884

RW,050,100,200,400
050,0.09776,0.05679,0.03479,0.02109
100,0.15992,0.10109,0.06555,0.03968
200,0.21071,0.15543,0.11881,0.07618
400,0.25201,0.1954,0.16768,0.12676

R1,050,100,200,400
050,0.2506,0.17026,0.10632,0.07047
100,0.41142,0.308,0.217,0.14251
200,0.56377,0.48356,0.40157,0.28706
400,0.65898,0.60666,0.57041,0.48365

R2,050,100,200,400
050,0.05127,0.02339,0.01799,0.01617
100,0.08327,0.05006,0.04214,0.03437
200,0.13255,0.1041,0.09005,0.07628
400,0.17188,0.14721,0.14083,0.12808

R3,050,100,200,400
050,0.01943,0.00656,0.00411,0.0036
100,0.02597,0.01257,0.01267,0.01139
200,0.03346,0.0236,0.023,0.0245
400,0.04192,0.03901,0.04295,0.04265

RL,050,100,200,400
050,0.22367,0.14922,0.0986,0.06541
100,0.3855,0.28851,0.20532,0.13407
200,0.52008,0.44687,0.38211,0.26976
400,0.6149,0.56004,0.536,0.45714

RSU,050,100,200,400
050,0.05968,0.02906,0.01119,0.00482
100,0.15916,0.09222,0.04707,0.01984
200,0.30014,0.22733,0.15493,0.07818
400,0.41201,0.35731,0.31311,0.22184

RS,050,100,200,400
050,0.05233,0.02633,0.01029,0.0045
100,0.14949,0.08805,0.04545,0.01924
200,0.29011,0.22235,0.15257,0.07716
400,0.40263,0.35242,0.31064,0.22055

