Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00234,0.00342,0.00878,0.00985
100,0.00193,0.00288,0.01261,0.01396
200,0.00532,0.00501,0.01278,0.01944
400,0.00329,0.00528,0.01313,0.01945

RW,050,100,200,400
050,0.19369,0.25986,0.30945,0.34974
100,0.12641,0.19819,0.27029,0.32075
200,0.09657,0.15317,0.23216,0.29014
400,0.05903,0.09428,0.15906,0.23029

R1,050,100,200,400
050,0.31105,0.4398,0.56881,0.66387
100,0.20671,0.34634,0.50971,0.6413
200,0.15276,0.26992,0.44779,0.6114
400,0.09063,0.16587,0.30896,0.50153

R2,050,100,200,400
050,0.05778,0.0755,0.11371,0.14661
100,0.03988,0.07101,0.11272,0.1595
200,0.04296,0.06904,0.11425,0.16757
400,0.02793,0.04748,0.088,0.13849

R3,050,100,200,400
050,0.01151,0.01479,0.02551,0.02773
100,0.01004,0.0139,0.0314,0.03809
200,0.01306,0.01909,0.0364,0.05277
400,0.00857,0.01494,0.0302,0.04631

RL,050,100,200,400
050,0.27543,0.40237,0.5274,0.62688
100,0.18887,0.32736,0.47872,0.6093
200,0.14049,0.25102,0.42238,0.58244
400,0.08539,0.15413,0.29133,0.47974

RSU,050,100,200,400
050,0.09014,0.17679,0.30354,0.41853
100,0.04013,0.11315,0.24272,0.38757
200,0.02155,0.06752,0.18585,0.35134
400,0.00787,0.02604,0.09111,0.23935

RS,050,100,200,400
050,0.08132,0.16619,0.29279,0.40849
100,0.03697,0.10871,0.23767,0.38277
200,0.02028,0.06553,0.18328,0.34878
400,0.00745,0.02533,0.09,0.23802

