Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.01685,0.01495,0.01641,0.01343
100,0.00589,0.01061,0.01699,0.01382
200,0.00586,0.01078,0.019,0.02132
400,0.00361,0.00872,0.01863,0.02493

RW,050,100,200,400
050,0.13917,0.1194,0.08781,0.05354
100,0.14048,0.14554,0.12879,0.0849
200,0.11806,0.15112,0.16542,0.12991
400,0.08448,0.12641,0.16311,0.1692

R1,050,100,200,400
050,0.28497,0.2945,0.25389,0.16837
100,0.2663,0.35245,0.36201,0.27822
200,0.20973,0.34063,0.43812,0.41611
400,0.13765,0.26133,0.39201,0.50068

R2,050,100,200,400
050,0.05824,0.06927,0.07499,0.0606
100,0.0557,0.0808,0.09821,0.0858
200,0.04851,0.08462,0.11508,0.12397
400,0.0332,0.0716,0.11021,0.14311

R3,050,100,200,400
050,0.02425,0.02531,0.03013,0.02601
100,0.01302,0.02347,0.03518,0.03058
200,0.01347,0.02659,0.03933,0.04351
400,0.00915,0.02219,0.03863,0.05024

RL,050,100,200,400
050,0.25812,0.27215,0.23823,0.15716
100,0.2502,0.3255,0.3375,0.26142
200,0.19613,0.31669,0.41292,0.39383
400,0.13185,0.24387,0.37149,0.47614

RSU,050,100,200,400
050,0.08317,0.07494,0.04605,0.01744
100,0.06418,0.11708,0.11102,0.05311
200,0.03128,0.10322,0.18218,0.14782
400,0.01182,0.05449,0.13499,0.23476

RS,050,100,200,400
050,0.07568,0.07024,0.04371,0.01663
100,0.05962,0.11285,0.10813,0.05182
200,0.02928,0.10055,0.17973,0.14625
400,0.01114,0.0533,0.13349,0.23346

