Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00237,0.00224,0.00325,0.00237
100,0.00242,0.00335,0.00375,0.00415
200,0.00455,0.01412,0.00939,0.00659
400,0.01823,0.02026,0.02325,0.01665

RW,050,100,200,400
050,0.1059,0.07437,0.04416,0.02497
100,0.1406,0.1123,0.07551,0.04274
200,0.18312,0.16301,0.12421,0.07865
400,0.22902,0.20598,0.1701,0.12976

R1,050,100,200,400
050,0.28849,0.21301,0.13791,0.08064
100,0.39238,0.34403,0.24743,0.15229
200,0.50411,0.49958,0.4206,0.29251
400,0.61813,0.61861,0.57747,0.48635

R2,050,100,200,400
050,0.05653,0.04944,0.03499,0.0217
100,0.07429,0.07062,0.06005,0.04004
200,0.12131,0.12464,0.10207,0.07308
400,0.1885,0.17878,0.16271,0.13464

R3,050,100,200,400
050,0.0102,0.01102,0.00996,0.00652
100,0.01717,0.01698,0.01637,0.01078
200,0.0282,0.03713,0.03052,0.02009
400,0.05475,0.0557,0.05401,0.04145

RL,050,100,200,400
050,0.25724,0.19748,0.12942,0.07695
100,0.35243,0.3183,0.23469,0.14477
200,0.46978,0.46572,0.40169,0.27886
400,0.57825,0.57946,0.5468,0.46954

RSU,050,100,200,400
050,0.08242,0.04572,0.01859,0.00644
100,0.15036,0.11628,0.05931,0.02231
200,0.25275,0.24299,0.17242,0.08363
400,0.37191,0.36576,0.31958,0.22663

RS,050,100,200,400
050,0.07432,0.04255,0.01747,0.00608
100,0.14079,0.11187,0.05751,0.02167
200,0.24283,0.23801,0.17004,0.08261
400,0.36225,0.36086,0.31711,0.22535

