Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00333,0.00439,0.00462,0.00368
100,0.0088,0.01208,0.0079,0.0045
200,0.01076,0.01859,0.01328,0.00927
400,0.0068,0.02062,0.01785,0.01553

RW,050,100,200,400
050,0.10764,0.07871,0.04716,0.02623
100,0.16593,0.12873,0.08196,0.0471
200,0.20707,0.17646,0.12851,0.0822
400,0.23744,0.20907,0.16998,0.12897

R1,050,100,200,400
050,0.29171,0.22736,0.14835,0.08628
100,0.48027,0.39631,0.2786,0.16688
200,0.5626,0.54625,0.44328,0.30729
400,0.63008,0.63054,0.58536,0.49085

R2,050,100,200,400
050,0.05192,0.04907,0.03908,0.02481
100,0.09606,0.09127,0.06933,0.04566
200,0.13119,0.13555,0.1125,0.08173
400,0.15436,0.16968,0.15518,0.13138

R3,050,100,200,400
050,0.01309,0.0158,0.01138,0.00845
100,0.02382,0.03054,0.01994,0.01283
200,0.03777,0.04659,0.03124,0.02258
400,0.02713,0.05413,0.0439,0.03766

RL,050,100,200,400
050,0.26427,0.2134,0.14132,0.08191
100,0.4266,0.36516,0.26186,0.15799
200,0.51982,0.50943,0.41752,0.29292
400,0.59427,0.5976,0.55464,0.46934

RSU,050,100,200,400
050,0.08191,0.04922,0.02078,0.00718
100,0.20991,0.14848,0.07454,0.02696
200,0.30301,0.28129,0.18773,0.09082
400,0.38048,0.37659,0.32962,0.23205

RS,050,100,200,400
050,0.07392,0.0458,0.01955,0.0068
100,0.19948,0.14367,0.07255,0.02629
200,0.29305,0.27618,0.18525,0.08977
400,0.37103,0.37169,0.32712,0.23079

