Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.0044,0.00219,0.00555,0.00137
100,0.00643,0.00714,0.01232,0.00864
200,0.02612,0.01267,0.01748,0.01958
400,0.0295,0.01878,0.0249,0.02881

RW,050,100,200,400
050,0.10826,0.07794,0.04516,0.02682
100,0.1453,0.11427,0.07764,0.04611
200,0.19916,0.16491,0.12739,0.08436
400,0.2398,0.20867,0.17444,0.13493

R1,050,100,200,400
050,0.29538,0.22857,0.14528,0.08958
100,0.39846,0.34374,0.25271,0.16551
200,0.53888,0.51716,0.44318,0.31249
400,0.63011,0.63075,0.59616,0.50793

R2,050,100,200,400
050,0.05549,0.04732,0.03431,0.02345
100,0.08576,0.07398,0.0673,0.05152
200,0.12797,0.11255,0.10792,0.10016
400,0.17015,0.17029,0.15445,0.15197

R3,050,100,200,400
050,0.02023,0.01259,0.01264,0.00615
100,0.02633,0.02084,0.02534,0.01942
200,0.05142,0.03236,0.03786,0.04036
400,0.06145,0.04717,0.05203,0.05844

RL,050,100,200,400
050,0.25756,0.20328,0.13415,0.08391
100,0.3547,0.31622,0.23697,0.15535
200,0.4941,0.4745,0.40768,0.29534
400,0.58175,0.58655,0.55937,0.48329

RSU,050,100,200,400
050,0.09058,0.0526,0.02107,0.00775
100,0.16536,0.11836,0.06234,0.0264
200,0.28918,0.25403,0.18607,0.09414
400,0.39115,0.37531,0.33978,0.24544

RS,050,100,200,400
050,0.08267,0.04921,0.01988,0.00736
100,0.15636,0.11399,0.06049,0.02573
200,0.27938,0.24891,0.18356,0.09308
400,0.3817,0.37034,0.33726,0.24416

