Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00105,0.00211,0.00217,0.00679
100,0.00055,0.00323,0.00803,0.01224
200,0.00617,0.01017,0.01332,0.01833
400,0.00403,0.00737,0.01156,0.01652

RW,050,100,200,400
050,0.15605,0.21981,0.28149,0.31297
100,0.11858,0.18182,0.24441,0.28318
200,0.08157,0.13276,0.20362,0.24667
400,0.0512,0.08843,0.14236,0.20553

R1,050,100,200,400
050,0.25567,0.36604,0.49404,0.58931
100,0.19081,0.32068,0.45249,0.57809
200,0.1289,0.23988,0.3855,0.52296
400,0.07694,0.1571,0.2784,0.44276

R2,050,100,200,400
050,0.03783,0.06143,0.10155,0.12091
100,0.03109,0.05943,0.10039,0.14133
200,0.02777,0.05577,0.09376,0.13155
400,0.01935,0.03965,0.07035,0.10958

R3,050,100,200,400
050,0.00615,0.01599,0.01992,0.02342
100,0.00532,0.01387,0.02762,0.03758
200,0.01065,0.02126,0.03288,0.04357
400,0.00735,0.01374,0.02509,0.03618

RL,050,100,200,400
050,0.22379,0.33433,0.4633,0.54865
100,0.17332,0.29657,0.43472,0.54735
200,0.11852,0.22038,0.36729,0.49404
400,0.07327,0.14703,0.26372,0.42257

RSU,050,100,200,400
050,0.07021,0.14629,0.24853,0.35535
100,0.03821,0.1109,0.20667,0.33416
200,0.01763,0.06452,0.15008,0.28268
400,0.00619,0.02773,0.07556,0.19499

RS,050,100,200,400
050,0.06323,0.13805,0.23927,0.34669
100,0.03538,0.10704,0.20212,0.32968
200,0.01659,0.06289,0.14788,0.28043
400,0.00586,0.02712,0.0746,0.19383

