Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00581,0.00337,0.00486,0.00245
100,0.02037,0.01497,0.01078,0.008
200,0.0237,0.02713,0.01657,0.01239
400,0.02405,0.0286,0.02041,0.01658

RW,050,100,200,400
050,0.1125,0.07298,0.04743,0.02561
100,0.15616,0.1173,0.07943,0.0457
200,0.19293,0.16588,0.12536,0.07651
400,0.23905,0.20741,0.16996,0.12627

R1,050,100,200,400
050,0.30745,0.21659,0.146,0.08506
100,0.43344,0.36791,0.26123,0.16052
200,0.53049,0.50342,0.42223,0.28272
400,0.65442,0.63821,0.58412,0.48219

R2,050,100,200,400
050,0.06349,0.04133,0.03826,0.02278
100,0.09713,0.07678,0.06428,0.045
200,0.12624,0.12305,0.10027,0.07364
400,0.15731,0.16103,0.14745,0.11666

R3,050,100,200,400
050,0.02066,0.01098,0.01268,0.00693
100,0.03829,0.02676,0.02322,0.01696
200,0.04721,0.04753,0.03466,0.02526
400,0.05296,0.05368,0.04577,0.036

RL,050,100,200,400
050,0.27358,0.19645,0.13694,0.0803
100,0.38448,0.33543,0.24209,0.15194
200,0.48847,0.46833,0.39849,0.26969
400,0.60017,0.59279,0.54808,0.46038

RSU,050,100,200,400
050,0.08757,0.04495,0.02048,0.00698
100,0.18048,0.12368,0.06461,0.02455
200,0.27737,0.24447,0.17002,0.07787
400,0.41636,0.38964,0.32914,0.22242

RS,050,100,200,400
050,0.07899,0.04167,0.01927,0.00661
100,0.17058,0.11899,0.06271,0.02389
200,0.2675,0.23953,0.1676,0.07687
400,0.4072,0.38491,0.32668,0.22115

