Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,0.00119,0.00347,0.0078,0.00683
100,0.0,0.00494,0.01046,0.01001
200,0.00133,0.00451,0.01123,0.01968
400,0.00176,0.00368,0.00885,0.01622

RW,050,100,200,400
050,0.17292,0.23979,0.29127,0.31911
100,0.12074,0.19116,0.26216,0.29329
200,0.08446,0.14003,0.22275,0.27225
400,0.05192,0.0927,0.15772,0.2306

R1,050,100,200,400
050,0.27735,0.40417,0.50752,0.59008
100,0.19924,0.34078,0.49954,0.60778
200,0.13368,0.25081,0.43447,0.58367
400,0.0828,0.16097,0.3024,0.4956

R2,050,100,200,400
050,0.03347,0.05655,0.08805,0.11736
100,0.02552,0.05607,0.10123,0.14109
200,0.02434,0.04886,0.09085,0.14195
400,0.01697,0.03836,0.07884,0.1318

R3,050,100,200,400
050,0.00462,0.01249,0.0176,0.01887
100,0.00272,0.01373,0.02513,0.03355
200,0.00401,0.01151,0.0259,0.04188
400,0.00486,0.01006,0.02174,0.03993

RL,050,100,200,400
050,0.25429,0.3769,0.48368,0.55984
100,0.17996,0.31497,0.47734,0.58036
200,0.12451,0.23258,0.41366,0.55857
400,0.07689,0.15154,0.29042,0.4747

RSU,050,100,200,400
050,0.07384,0.15302,0.24405,0.33954
100,0.03827,0.10668,0.23669,0.35005
200,0.01705,0.05954,0.17571,0.32078
400,0.00657,0.02463,0.087,0.23091

RS,050,100,200,400
050,0.06603,0.14351,0.234,0.32987
100,0.03513,0.10215,0.23159,0.34502
200,0.01595,0.05771,0.17322,0.31826
400,0.0062,0.02397,0.08595,0.22962

