Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.16929,0.10056,0.05882
100,0.08134,1.0,0.0917,0.06359
200,0.02267,0.04479,1.0,0.20238
400,0.00693,0.016,0.1036,1.0

RW,050,100,200,400
050,0.84441,0.44039,0.41136,0.39025
100,0.2213,0.76498,0.37539,0.36032
200,0.11495,0.20374,0.68581,0.38317
400,0.06033,0.11193,0.22204,0.61513

R1,050,100,200,400
050,1.0,0.7004,0.71331,0.75034
100,0.34713,1.0,0.6954,0.74394
200,0.17621,0.3481,1.0,0.77472
400,0.09507,0.19054,0.39671,1.0

R2,050,100,200,400
050,1.0,0.3582,0.30427,0.26381
100,0.17558,1.0,0.30356,0.29497
200,0.07291,0.15032,1.0,0.40708
400,0.03258,0.07526,0.20855,1.0

R3,050,100,200,400
050,1.0,0.22933,0.162,0.11421
100,0.11147,1.0,0.15649,0.1274
200,0.03767,0.07677,1.0,0.26979
400,0.01384,0.03228,0.13823,1.0

RL,050,100,200,400
050,1.0,0.64146,0.66924,0.69628
100,0.30608,1.0,0.64113,0.69143
200,0.16073,0.31833,1.0,0.74099
400,0.08678,0.17651,0.37471,1.0

RSU,050,100,200,400
050,1.0,0.46856,0.4859,0.53377
100,0.11578,1.0,0.44945,0.527
200,0.03002,0.11295,1.0,0.58587
400,0.00873,0.03485,0.15466,1.0

RS,050,100,200,400
050,1.0,0.45967,0.47705,0.52524
100,0.1114,1.0,0.44472,0.52279
200,0.02863,0.11069,1.0,0.58404
400,0.00831,0.03408,0.15346,1.0

