Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.08134,0.02267,0.00693
100,0.16929,1.0,0.04479,0.016
200,0.10056,0.0917,1.0,0.1036
400,0.05882,0.06359,0.20238,1.0

RW,050,100,200,400
050,0.47089,0.11902,0.05506,0.02669
100,0.24993,0.41732,0.10146,0.04985
200,0.25844,0.22263,0.37157,0.10568
400,0.26651,0.23843,0.23451,0.33194

R1,050,100,200,400
050,1.0,0.34713,0.17621,0.09507
100,0.7004,1.0,0.3481,0.19054
200,0.71331,0.6954,1.0,0.39671
400,0.75034,0.74394,0.77472,1.0

R2,050,100,200,400
050,1.0,0.17558,0.07291,0.03258
100,0.3582,1.0,0.15032,0.07526
200,0.30427,0.30356,1.0,0.20855
400,0.26381,0.29497,0.40708,1.0

R3,050,100,200,400
050,1.0,0.11147,0.03767,0.01384
100,0.22933,1.0,0.07677,0.03228
200,0.162,0.15649,1.0,0.13823
400,0.11421,0.1274,0.26979,1.0

RL,050,100,200,400
050,1.0,0.31804,0.16551,0.08817
100,0.61744,1.0,0.32047,0.17727
200,0.64922,0.63632,1.0,0.37935
400,0.68527,0.68906,0.73175,1.0

RSU,050,100,200,400
050,1.0,0.11578,0.03002,0.00873
100,0.46856,1.0,0.11295,0.03485
200,0.4859,0.44945,1.0,0.15466
400,0.53377,0.527,0.58587,1.0

RS,050,100,200,400
050,1.0,0.1114,0.02863,0.00831
100,0.45967,1.0,0.11069,0.03408
200,0.47705,0.44472,1.0,0.15346
400,0.52524,0.52279,0.58404,1.0

