Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.20591,0.07736,0.0345
100,0.20591,1.0,0.17797,0.09045
200,0.07736,0.17797,1.0,0.38544
400,0.0345,0.09045,0.38544,1.0

RW,050,100,200,400
050,0.60146,0.21733,0.10763,0.05768
100,0.2759,0.53207,0.19753,0.10889
200,0.17671,0.26156,0.47468,0.21868
400,0.11081,0.18194,0.3169,0.42405

R1,050,100,200,400
050,1.0,0.48487,0.2902,0.17453
100,0.48487,1.0,0.51225,0.33265
200,0.2902,0.51225,1.0,0.63176
400,0.17453,0.33265,0.63176,1.0

R2,050,100,200,400
050,1.0,0.31478,0.14919,0.07981
100,0.31478,1.0,0.29203,0.17683
200,0.14919,0.29203,1.0,0.51335
400,0.07981,0.17683,0.51335,1.0

R3,050,100,200,400
050,1.0,0.25064,0.10135,0.04852
100,0.25064,1.0,0.22045,0.11853
200,0.10135,0.22045,1.0,0.43998
400,0.04852,0.11853,0.43998,1.0

RL,050,100,200,400
050,1.0,0.46459,0.27295,0.16589
100,0.4617,1.0,0.4864,0.32138
200,0.26958,0.48856,1.0,0.62671
400,0.16296,0.31836,0.62454,1.0

RSU,050,100,200,400
050,1.0,0.20427,0.0576,0.01781
100,0.20427,1.0,0.22747,0.07812
200,0.0576,0.22747,1.0,0.3567
400,0.01781,0.07812,0.3567,1.0

RS,050,100,200,400
050,1.0,0.19776,0.05497,0.01698
100,0.19776,1.0,0.22418,0.07667
200,0.05497,0.22418,1.0,0.35509
400,0.01698,0.07667,0.35509,1.0

