Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.33016,0.21247,0.17353
100,0.15031,1.0,0.26998,0.22941
200,0.04746,0.13279,1.0,0.57654
400,0.0192,0.05634,0.2895,1.0

RW,050,100,200,400
050,0.81694,0.48927,0.43735,0.43947
100,0.25268,0.71751,0.44032,0.42985
200,0.12526,0.24077,0.64464,0.48238
400,0.06712,0.1296,0.29586,0.57769

R1,050,100,200,400
050,1.0,0.74362,0.74373,0.80108
100,0.3608,1.0,0.77184,0.83002
200,0.18059,0.38346,1.0,0.94076
400,0.09803,0.20804,0.4756,1.0

R2,050,100,200,400
050,1.0,0.49059,0.39059,0.37647
100,0.2326,1.0,0.44018,0.44351
200,0.09243,0.21857,1.0,0.7656
400,0.0447,0.11045,0.38616,1.0

R3,050,100,200,400
050,1.0,0.396,0.27218,0.237
100,0.18411,1.0,0.33324,0.2988
200,0.06247,0.16477,1.0,0.65718
400,0.02708,0.07394,0.33071,1.0

RL,050,100,200,400
050,1.0,0.71322,0.70038,0.76227
100,0.34334,1.0,0.73283,0.80186
200,0.1677,0.36571,1.0,0.93323
400,0.09154,0.19911,0.47016,1.0

RSU,050,100,200,400
050,1.0,0.53752,0.50741,0.58775
100,0.12689,1.0,0.5696,0.65454
200,0.03058,0.14223,1.0,0.87483
400,0.00905,0.04155,0.22406,1.0

RS,050,100,200,400
050,1.0,0.52919,0.49766,0.57898
100,0.12238,1.0,0.5656,0.65112
200,0.02914,0.13991,1.0,0.87419
400,0.00862,0.04074,0.22283,1.0

