Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.15031,0.04746,0.0192
100,0.33016,1.0,0.13279,0.05634
200,0.21247,0.26998,1.0,0.2895
400,0.17353,0.22941,0.57654,1.0

RW,050,100,200,400
050,0.47637,0.14003,0.06145,0.03089
100,0.30682,0.42334,0.12737,0.06236
200,0.3038,0.28705,0.3757,0.14143
400,0.3221,0.30606,0.34128,0.33507

R1,050,100,200,400
050,1.0,0.3608,0.18059,0.09803
100,0.74362,1.0,0.38346,0.20804
200,0.74373,0.77184,1.0,0.4756
400,0.80108,0.83002,0.94076,1.0

R2,050,100,200,400
050,1.0,0.2326,0.09243,0.0447
100,0.49059,1.0,0.21857,0.11045
200,0.39059,0.44018,1.0,0.38616
400,0.37647,0.44351,0.7656,1.0

R3,050,100,200,400
050,1.0,0.18411,0.06247,0.02708
100,0.396,1.0,0.16477,0.07394
200,0.27218,0.33324,1.0,0.33071
400,0.237,0.2988,0.65718,1.0

RL,050,100,200,400
050,1.0,0.34559,0.16983,0.09317
100,0.7092,1.0,0.36412,0.201
200,0.69219,0.73625,1.0,0.4718
400,0.74833,0.79432,0.93001,1.0

RSU,050,100,200,400
050,1.0,0.12689,0.03058,0.00905
100,0.53752,1.0,0.14223,0.04155
200,0.50741,0.5696,1.0,0.22406
400,0.58775,0.65454,0.87483,1.0

RS,050,100,200,400
050,1.0,0.12238,0.02914,0.00862
100,0.52919,1.0,0.13991,0.04074
200,0.49766,0.5656,1.0,0.22283
400,0.57898,0.65112,0.87419,1.0

