Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.06917,0.04817,0.03892
100,0.0313,1.0,0.18562,0.10467
200,0.01156,0.16068,1.0,0.17118
400,0.00478,0.03465,0.08759,1.0

RW,050,100,200,400
050,0.79005,0.40931,0.38188,0.39438
100,0.21112,0.69683,0.39684,0.39392
200,0.11457,0.24987,0.64424,0.39841
400,0.06266,0.14039,0.23782,0.58496

R1,050,100,200,400
050,1.0,0.66231,0.69771,0.73596
100,0.31672,1.0,0.74876,0.7917
200,0.17274,0.43414,1.0,0.82436
400,0.09435,0.23699,0.4265,1.0

R2,050,100,200,400
050,1.0,0.26883,0.23747,0.23706
100,0.12793,1.0,0.39215,0.34627
200,0.0583,0.26095,1.0,0.43078
400,0.02991,0.10789,0.22212,1.0

R3,050,100,200,400
050,1.0,0.12273,0.08991,0.07221
100,0.05702,1.0,0.25322,0.17307
200,0.02189,0.19346,1.0,0.25924
400,0.00898,0.05604,0.13315,1.0

RL,050,100,200,400
050,1.0,0.63795,0.64066,0.70353
100,0.30043,1.0,0.71936,0.77153
200,0.16341,0.41515,1.0,0.79307
400,0.08956,0.23049,0.4096,1.0

RSU,050,100,200,400
050,1.0,0.39198,0.45271,0.51329
100,0.09506,1.0,0.5261,0.59934
200,0.02826,0.21784,1.0,0.66389
400,0.00861,0.06619,0.17805,1.0

RS,050,100,200,400
050,1.0,0.38114,0.44283,0.50435
100,0.09072,1.0,0.52191,0.59569
200,0.02686,0.21574,1.0,0.66231
400,0.00818,0.06533,0.17679,1.0

