Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.0313,0.01156,0.00478
100,0.06917,1.0,0.16068,0.03465
200,0.04817,0.18562,1.0,0.08759
400,0.03892,0.10467,0.17118,1.0

RW,050,100,200,400
050,0.47894,0.11791,0.0552,0.02909
100,0.26886,0.42011,0.13979,0.06831
200,0.28,0.26681,0.37726,0.11892
400,0.29643,0.29109,0.26995,0.33711

R1,050,100,200,400
050,1.0,0.31672,0.17274,0.09435
100,0.66231,1.0,0.43414,0.23699
200,0.69771,0.74876,1.0,0.4265
400,0.73596,0.7917,0.82436,1.0

R2,050,100,200,400
050,1.0,0.12793,0.0583,0.02991
100,0.26883,1.0,0.26095,0.10789
200,0.23747,0.39215,1.0,0.22212
400,0.23706,0.34627,0.43078,1.0

R3,050,100,200,400
050,1.0,0.05702,0.02189,0.00898
100,0.12273,1.0,0.19346,0.05604
200,0.08991,0.25322,1.0,0.13315
400,0.07221,0.17307,0.25924,1.0

RL,050,100,200,400
050,1.0,0.30395,0.15863,0.09012
100,0.62958,1.0,0.42008,0.23105
200,0.66005,0.70896,1.0,0.4104
400,0.69892,0.76959,0.7917,1.0

RSU,050,100,200,400
050,1.0,0.09506,0.02826,0.00861
100,0.39198,1.0,0.21784,0.06619
200,0.45271,0.5261,1.0,0.17805
400,0.51329,0.59934,0.66389,1.0

RS,050,100,200,400
050,1.0,0.09072,0.02686,0.00818
100,0.38114,1.0,0.21574,0.06533
200,0.44283,0.52191,1.0,0.17679
400,0.50435,0.59569,0.66231,1.0

