Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.31216,0.21961,0.12557
100,0.31216,1.0,0.53531,0.29186
200,0.21961,0.53531,1.0,0.55987
400,0.12557,0.29186,0.55987,1.0

RW,050,100,200,400
050,0.59161,0.25225,0.16132,0.08696
100,0.31606,0.53505,0.28888,0.15121
200,0.23707,0.37683,0.47767,0.2503
400,0.15323,0.2457,0.34457,0.42648

R1,050,100,200,400
050,1.0,0.52204,0.36724,0.22079
100,0.52204,1.0,0.65327,0.39766
200,0.36724,0.65327,1.0,0.66365
400,0.22079,0.39766,0.66365,1.0

R2,050,100,200,400
050,1.0,0.39247,0.28381,0.17074
100,0.39247,1.0,0.59801,0.34503
200,0.28381,0.59801,1.0,0.61537
400,0.17074,0.34503,0.61537,1.0

R3,050,100,200,400
050,1.0,0.34416,0.24352,0.14324
100,0.34416,1.0,0.56441,0.31447
200,0.24352,0.56441,1.0,0.5836
400,0.14324,0.31447,0.5836,1.0

RL,050,100,200,400
050,1.0,0.50801,0.35892,0.21699
100,0.508,1.0,0.65055,0.39381
200,0.35388,0.64917,1.0,0.66151
400,0.21509,0.3938,0.66151,1.0

RSU,050,100,200,400
050,1.0,0.24976,0.105,0.03066
100,0.24976,1.0,0.38348,0.11739
200,0.105,0.38348,1.0,0.39872
400,0.03066,0.11739,0.39872,1.0

RS,050,100,200,400
050,1.0,0.24374,0.10209,0.02965
100,0.24374,1.0,0.38045,0.1158
200,0.10209,0.38045,1.0,0.39718
400,0.02965,0.1158,0.39718,1.0

