Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.12333,0.04449,0.01864
100,0.12333,1.0,0.14982,0.04029
200,0.04449,0.14982,1.0,0.14792
400,0.01864,0.04029,0.14792,1.0

RW,050,100,200,400
050,0.59229,0.21549,0.11547,0.06026
100,0.28214,0.5335,0.20154,0.10344
200,0.18648,0.27066,0.47591,0.19165
400,0.11042,0.16932,0.26126,0.42403

R1,050,100,200,400
050,1.0,0.49841,0.30727,0.17577
100,0.49841,1.0,0.53748,0.31897
200,0.30727,0.53748,1.0,0.57311
400,0.17577,0.31897,0.57311,1.0

R2,050,100,200,400
050,1.0,0.26628,0.13925,0.07892
100,0.26628,1.0,0.30734,0.15283
200,0.13925,0.30734,1.0,0.3363
400,0.07892,0.15283,0.3363,1.0

R3,050,100,200,400
050,1.0,0.16945,0.07266,0.03519
100,0.16945,1.0,0.20946,0.07449
200,0.07266,0.20946,1.0,0.21382
400,0.03519,0.07449,0.21382,1.0

RL,050,100,200,400
050,1.0,0.48217,0.29854,0.16944
100,0.48061,1.0,0.51923,0.30758
200,0.29505,0.51484,1.0,0.56033
400,0.16842,0.30624,0.55884,1.0

RSU,050,100,200,400
050,1.0,0.22704,0.07136,0.01946
100,0.22704,1.0,0.25873,0.0748
200,0.07136,0.25873,1.0,0.29456
400,0.01946,0.0748,0.29456,1.0

RS,050,100,200,400
050,1.0,0.22071,0.06867,0.01863
100,0.22071,1.0,0.25547,0.0734
200,0.06867,0.25547,1.0,0.29292
400,0.01863,0.0734,0.29292,1.0

