Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.07488,0.03481,0.01838
100,0.07488,1.0,0.05207,0.03393
200,0.03481,0.05207,1.0,0.14275
400,0.01838,0.03393,0.14275,1.0

RW,050,100,200,400
050,0.59427,0.1896,0.10516,0.05672
100,0.24911,0.53011,0.17501,0.10494
200,0.16735,0.23096,0.47434,0.18823
400,0.1103,0.17328,0.26021,0.42357

R1,050,100,200,400
050,1.0,0.47913,0.29661,0.18044
100,0.47913,1.0,0.49267,0.33274
200,0.29661,0.49267,1.0,0.57553
400,0.18044,0.33274,0.57553,1.0

R2,050,100,200,400
050,1.0,0.22574,0.12159,0.06896
100,0.22574,1.0,0.20472,0.14112
200,0.12159,0.20472,1.0,0.32464
400,0.06896,0.14112,0.32464,1.0

R3,050,100,200,400
050,1.0,0.12641,0.05782,0.03285
100,0.12641,1.0,0.09785,0.06651
200,0.05782,0.09785,1.0,0.20494
400,0.03285,0.06651,0.20494,1.0

RL,050,100,200,400
050,1.0,0.43779,0.27951,0.17088
100,0.43616,1.0,0.45998,0.31707
200,0.27604,0.45573,1.0,0.55319
400,0.16996,0.31238,0.55283,1.0

RSU,050,100,200,400
050,1.0,0.18639,0.06072,0.01978
100,0.18639,1.0,0.20587,0.0785
200,0.06072,0.20587,1.0,0.29251
400,0.01978,0.0785,0.29251,1.0

RS,050,100,200,400
050,1.0,0.17967,0.05809,0.01892
100,0.17967,1.0,0.20257,0.07704
200,0.05809,0.20257,1.0,0.29086
400,0.01892,0.07704,0.29086,1.0

