Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.34712,0.18352,0.23897
100,0.16643,1.0,0.31217,0.16869
200,0.04376,0.15488,1.0,0.33527
400,0.02715,0.04205,0.16957,1.0

RW,050,100,200,400
050,0.77581,0.56885,0.51873,0.51596
100,0.31098,0.70554,0.50193,0.44443
200,0.1404,0.28926,0.64658,0.45154
400,0.08237,0.15047,0.2806,0.57551

R1,050,100,200,400
050,1.0,0.89784,0.87602,0.938
100,0.44871,1.0,0.91653,0.91756
200,0.22176,0.46549,1.0,0.93228
400,0.12064,0.23592,0.47196,1.0

R2,050,100,200,400
050,1.0,0.60173,0.44295,0.50421
100,0.29713,1.0,0.58537,0.48844
200,0.10963,0.29471,1.0,0.63217
400,0.06219,0.12447,0.32012,1.0

R3,050,100,200,400
050,1.0,0.43589,0.26788,0.31408
100,0.21238,1.0,0.4191,0.2718
200,0.06496,0.20948,1.0,0.45164
400,0.03711,0.06848,0.2286,1.0

RL,050,100,200,400
050,1.0,0.88238,0.85039,0.91554
100,0.43665,1.0,0.88242,0.88551
200,0.20887,0.44206,1.0,0.90432
400,0.11515,0.22813,0.45707,1.0

RSU,050,100,200,400
050,1.0,0.77058,0.7327,0.83632
100,0.19443,1.0,0.81639,0.81639
200,0.04735,0.21105,1.0,0.85716
400,0.01405,0.0544,0.22093,1.0

RS,050,100,200,400
050,1.0,0.76624,0.72754,0.83263
100,0.1899,1.0,0.81458,0.81455
200,0.04575,0.2087,1.0,0.85646
400,0.01355,0.05356,0.21976,1.0

