Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.02069,0.01301,0.00239
100,0.02069,1.0,0.06587,0.01977
200,0.01301,0.06587,1.0,0.07503
400,0.00239,0.01977,0.07503,1.0

RW,050,100,200,400
050,0.59186,0.16532,0.09549,0.05162
100,0.20218,0.5298,0.16833,0.0938
200,0.14944,0.22677,0.47258,0.17033
400,0.09475,0.16055,0.2412,0.42338

R1,050,100,200,400
050,1.0,0.39382,0.26859,0.16126
100,0.39382,1.0,0.47649,0.30784
200,0.26859,0.47649,1.0,0.54989
400,0.16126,0.30784,0.54989,1.0

R2,050,100,200,400
050,1.0,0.11984,0.07275,0.0399
100,0.11984,1.0,0.21056,0.10871
200,0.07275,0.21056,1.0,0.24774
400,0.0399,0.10871,0.24774,1.0

R3,050,100,200,400
050,1.0,0.05267,0.02829,0.01205
100,0.05267,1.0,0.11092,0.04274
200,0.02829,0.11092,1.0,0.12652
400,0.01205,0.04274,0.12652,1.0

RL,050,100,200,400
050,1.0,0.36488,0.24901,0.15551
100,0.35214,1.0,0.45774,0.29358
200,0.249,0.45291,1.0,0.52804
400,0.1526,0.29139,0.52803,1.0

RSU,050,100,200,400
050,1.0,0.13212,0.05026,0.01583
100,0.13212,1.0,0.19814,0.06899
200,0.05026,0.19814,1.0,0.26617
400,0.01583,0.06899,0.26617,1.0

RS,050,100,200,400
050,1.0,0.12606,0.04786,0.01505
100,0.12606,1.0,0.19494,0.06763
200,0.04786,0.19494,1.0,0.26452
400,0.01505,0.06763,0.26452,1.0

