Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.03146,0.03419,0.01117
100,0.01542,1.0,0.10047,0.0507
200,0.00804,0.04901,1.0,0.112
400,0.00134,0.01228,0.05646,1.0

RW,050,100,200,400
050,0.78662,0.35497,0.36822,0.37024
100,0.18639,0.70894,0.37272,0.36796
200,0.10585,0.20727,0.63645,0.37266
400,0.05742,0.11385,0.22439,0.57557

R1,050,100,200,400
050,1.0,0.58354,0.66722,0.71005
100,0.29743,1.0,0.72033,0.76846
200,0.16825,0.35613,1.0,0.81623
400,0.09097,0.19251,0.41503,1.0

R2,050,100,200,400
050,1.0,0.17917,0.18434,0.17896
100,0.09012,1.0,0.31942,0.27395
200,0.04535,0.1571,1.0,0.36768
400,0.02245,0.06782,0.187,1.0

R3,050,100,200,400
050,1.0,0.07938,0.07341,0.05517
100,0.03944,1.0,0.16881,0.10861
200,0.01753,0.08263,1.0,0.18816
400,0.00676,0.02661,0.0954,1.0

RL,050,100,200,400
050,1.0,0.54087,0.61874,0.68468
100,0.26591,1.0,0.69228,0.73292
200,0.15591,0.33846,1.0,0.78384
400,0.08607,0.18221,0.39854,1.0

RSU,050,100,200,400
050,1.0,0.31837,0.41539,0.48217
100,0.08354,1.0,0.50283,0.58175
200,0.02677,0.12349,1.0,0.64679
400,0.00805,0.03668,0.168,1.0

RS,050,100,200,400
050,1.0,0.30818,0.406,0.47347
100,0.07941,1.0,0.49858,0.5781
200,0.02545,0.12127,1.0,0.64516
400,0.00765,0.03592,0.1668,1.0

