Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0031,0.00156,0.00082
050,0.0,0.01207,0.00867,0.00528
100,0.0,0.01024,0.00728,0.00602
200,0.0,0.00649,0.01126,0.01823

RW,010,050,100,200
010,0.14455,0.05534,0.03449,0.01907
050,0.09578,0.14381,0.11351,0.07468
100,0.06203,0.13412,0.15683,0.11819
200,0.04116,0.11556,0.15604,0.16083

R1,010,050,100,200
010,0.23127,0.10369,0.06407,0.04294
050,0.1335,0.30011,0.28759,0.20775
100,0.08643,0.27653,0.36505,0.32137
200,0.05009,0.20219,0.33196,0.41972

R2,010,050,100,200
010,0.09338,0.03209,0.01671,0.01263
050,0.03539,0.06529,0.06065,0.04854
100,0.01777,0.06214,0.07246,0.06816
200,0.00913,0.05052,0.07351,0.09925

R3,010,050,100,200
010,0.01194,0.00597,0.00307,0.00321
050,0.00891,0.0235,0.01931,0.01308
100,0.0045,0.02335,0.02158,0.01728
200,0.00155,0.01548,0.02339,0.03624

RL,010,050,100,200
010,0.19355,0.09518,0.06407,0.04215
050,0.11767,0.27436,0.26357,0.19363
100,0.07312,0.24441,0.33705,0.30473
200,0.0486,0.19011,0.31517,0.39944

RSU,010,050,100,200
010,0.05568,0.0088,0.00298,0.00117
050,0.01326,0.08065,0.07072,0.03196
100,0.00463,0.05964,0.11856,0.08821
200,0.00153,0.02925,0.09335,0.1683

RS,010,050,100,200
010,0.02837,0.00526,0.00189,0.00079
050,0.00851,0.07232,0.06577,0.02993
100,0.0031,0.05464,0.11381,0.08548
200,0.00109,0.02735,0.09064,0.16588

