Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.00696,0.00183,0.00353,0.0
100,0.00522,0.00251,0.01189,0.0091
200,0.00356,0.00296,0.01208,0.01485

RW,010,050,100,200
010,0.15562,0.06822,0.04468,0.02405
050,0.12762,0.15015,0.1258,0.08399
100,0.07518,0.15126,0.15238,0.1213
200,0.04836,0.13308,0.16911,0.16644

R1,010,050,100,200
010,0.24894,0.13375,0.09172,0.05373
050,0.16637,0.3139,0.30272,0.2282
100,0.10179,0.30028,0.3722,0.33255
200,0.06238,0.23881,0.36042,0.43455

R2,010,050,100,200
010,0.05614,0.02024,0.01548,0.00825
050,0.04253,0.06569,0.06768,0.05143
100,0.02518,0.06426,0.07979,0.08124
200,0.01652,0.0522,0.08946,0.10968

R3,010,050,100,200
010,0.01067,0.00302,0.0032,0.00167
050,0.01005,0.01435,0.01867,0.00993
100,0.00851,0.01594,0.02336,0.02347
200,0.00701,0.01457,0.02869,0.03633

RL,010,050,100,200
010,0.21334,0.12477,0.09008,0.05204
050,0.16019,0.29118,0.29199,0.21836
100,0.09182,0.27605,0.34789,0.31942
200,0.05718,0.22143,0.34363,0.41527

RSU,010,050,100,200
010,0.07473,0.01502,0.00607,0.00181
050,0.01939,0.08806,0.07428,0.03556
100,0.0073,0.08396,0.12924,0.09139
200,0.00242,0.04144,0.11243,0.17725

RS,010,050,100,200
010,0.04441,0.01009,0.00442,0.00131
050,0.01319,0.07925,0.06908,0.03341
100,0.00538,0.07874,0.12443,0.08861
200,0.00185,0.03911,0.10946,0.17473

