Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.04672,0.00914,0.00482,0.00244
050,0.0,0.01549,0.01677,0.01437
100,0.0,0.01207,0.01475,0.01471
200,0.0,0.00803,0.01162,0.01847

RW,010,050,100,200
010,0.21252,0.08509,0.05265,0.02602
050,0.0901,0.15622,0.13116,0.08913
100,0.05955,0.15939,0.16085,0.12969
200,0.03707,0.12592,0.1599,0.17367

R1,010,050,100,200
010,0.30087,0.17884,0.11295,0.06071
050,0.12206,0.33777,0.31863,0.24663
100,0.07733,0.3104,0.37696,0.35798
200,0.04729,0.22505,0.33754,0.44313

R2,010,050,100,200
010,0.13844,0.06596,0.0388,0.01637
050,0.02506,0.09581,0.09065,0.06886
100,0.01475,0.08283,0.09895,0.09151
200,0.00944,0.06585,0.10129,0.12539

R3,010,050,100,200
010,0.07086,0.02585,0.01377,0.00478
050,0.00296,0.03663,0.03723,0.02934
100,0.00151,0.0271,0.03809,0.03305
200,0.00081,0.02241,0.03286,0.04335

RL,010,050,100,200
010,0.28307,0.16057,0.10551,0.05605
050,0.11113,0.30417,0.29094,0.23099
100,0.07006,0.28193,0.34595,0.33794
200,0.04339,0.2134,0.32083,0.42323

RSU,010,050,100,200
010,0.13016,0.02401,0.00863,0.00207
050,0.01477,0.10695,0.08851,0.04415
100,0.00471,0.08235,0.133,0.11296
200,0.0016,0.03703,0.09894,0.18758

RS,010,050,100,200
010,0.09898,0.01786,0.0067,0.00152
050,0.01016,0.09834,0.08327,0.04183
100,0.00324,0.07709,0.1283,0.11011
200,0.00116,0.03488,0.09615,0.18509

