Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.01223,0.0,0.0,0.0
050,0.0,0.00556,0.00367,0.00514
100,0.0,0.01168,0.01357,0.00844
200,0.0,0.00425,0.00902,0.00905

RW,010,050,100,200
010,0.18922,0.06247,0.04001,0.02556
050,0.11,0.14001,0.12274,0.07962
100,0.06661,0.14598,0.15219,0.11843
200,0.04519,0.11622,0.15448,0.15652

R1,010,050,100,200
010,0.27549,0.13189,0.08447,0.05882
050,0.14932,0.30205,0.29627,0.22519
100,0.09737,0.30021,0.35872,0.34182
200,0.05895,0.22235,0.34288,0.4192

R2,010,050,100,200
010,0.1145,0.02924,0.01646,0.00953
050,0.0481,0.0742,0.07501,0.06313
100,0.02232,0.06978,0.08875,0.08699
200,0.0101,0.04748,0.08234,0.09686

R3,010,050,100,200
010,0.04368,0.00639,0.00339,0.00176
050,0.01229,0.02524,0.01558,0.01523
100,0.00481,0.02679,0.02769,0.02521
200,0.00168,0.01209,0.02206,0.02666

RL,010,050,100,200
010,0.25741,0.12029,0.08141,0.05625
050,0.13536,0.27437,0.27555,0.21752
100,0.08119,0.27168,0.33255,0.32403
200,0.0539,0.2033,0.3184,0.39701

RSU,010,050,100,200
010,0.12153,0.01627,0.00555,0.00213
050,0.01971,0.08832,0.07465,0.03628
100,0.00695,0.07656,0.12382,0.10029
200,0.00208,0.03446,0.09991,0.16648

RS,010,050,100,200
010,0.09343,0.01147,0.00401,0.00158
050,0.01411,0.08027,0.0695,0.03412
100,0.00521,0.07133,0.11924,0.09743
200,0.00153,0.03231,0.09707,0.164

