Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.01019,0.0,0.0,0.0
050,0.0,0.00559,0.00557,0.01272
100,0.0,0.00884,0.01338,0.01265
200,0.0,0.00269,0.00677,0.00902

RW,010,050,100,200
010,0.23569,0.29952,0.35285,0.43114
050,0.07334,0.19667,0.27513,0.31164
100,0.03879,0.13835,0.20685,0.25708
200,0.02444,0.08414,0.14366,0.20898

R1,010,050,100,200
010,0.27737,0.39578,0.45693,0.60391
050,0.09116,0.31057,0.45407,0.57137
100,0.05395,0.22901,0.36268,0.51251
200,0.03105,0.14043,0.25927,0.41895

R2,010,050,100,200
010,0.1092,0.09151,0.09242,0.10076
050,0.02912,0.07515,0.11359,0.15888
100,0.01232,0.05285,0.08911,0.13045
200,0.00532,0.02994,0.06208,0.09674

R3,010,050,100,200
010,0.03883,0.02047,0.02047,0.02047
050,0.00733,0.02551,0.0236,0.03808
100,0.00264,0.02019,0.02739,0.03752
200,0.00089,0.00762,0.01658,0.02662

RL,010,050,100,200
010,0.25828,0.35997,0.43924,0.57644
050,0.08244,0.28209,0.42175,0.5518
100,0.04499,0.20741,0.33593,0.48564
200,0.02839,0.12841,0.24067,0.39674

RSU,010,050,100,200
010,0.12116,0.18637,0.23966,0.36528
050,0.01039,0.09249,0.19044,0.31032
100,0.00352,0.04903,0.12648,0.24952
200,0.00104,0.01845,0.06315,0.16609

RS,010,050,100,200
010,0.0904,0.14271,0.19509,0.31464
050,0.0074,0.08397,0.17964,0.29957
100,0.00264,0.04552,0.12182,0.2443
200,0.00077,0.01727,0.06124,0.1636

