Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.01439,0.01439,0.0,0.0
050,0.0,0.00421,0.00424,0.0186
100,0.0,0.00203,0.00813,0.02217
200,0.0,0.00304,0.00551,0.01643

RW,010,050,100,200
010,0.2297,0.32615,0.39664,0.43033
050,0.07788,0.24355,0.28916,0.32208
100,0.04377,0.15263,0.21309,0.27236
200,0.02562,0.09516,0.14775,0.22116

R1,010,050,100,200
010,0.2958,0.47133,0.5503,0.6187
050,0.09806,0.38801,0.49235,0.58769
100,0.05503,0.24779,0.37009,0.52605
200,0.03123,0.15286,0.26379,0.43317

R2,010,050,100,200
010,0.09786,0.10778,0.12994,0.14222
050,0.026,0.10419,0.12417,0.17966
100,0.01099,0.05793,0.07677,0.13889
200,0.00796,0.03934,0.06468,0.1155

R3,010,050,100,200
010,0.02518,0.02518,0.0124,0.02503
050,0.00821,0.02232,0.02864,0.05083
100,0.00303,0.01208,0.01814,0.04309
200,0.002,0.01302,0.01799,0.04073

RL,010,050,100,200
010,0.2467,0.41231,0.49203,0.58058
050,0.08839,0.3506,0.45705,0.54852
100,0.05015,0.22727,0.34468,0.48675
200,0.02925,0.14196,0.24459,0.40645

RSU,010,050,100,200
010,0.09249,0.19905,0.28497,0.37873
050,0.01076,0.12844,0.21092,0.3094
100,0.00342,0.05353,0.12211,0.2562
200,0.00109,0.02087,0.06366,0.16969

RS,010,050,100,200
010,0.05721,0.14667,0.232,0.3317
050,0.0075,0.11835,0.19982,0.29836
100,0.00243,0.0497,0.11725,0.25092
200,0.0008,0.01958,0.06169,0.16707

