Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.03586,0.0,0.00147,0.00156
050,0.00291,0.00169,0.0022,0.00258
100,0.0,0.00322,0.00649,0.01022
200,0.0,0.00508,0.01292,0.01496

RW,010,050,100,200
010,0.15695,0.0749,0.03938,0.02475
050,0.09895,0.14098,0.12932,0.09279
100,0.06632,0.15031,0.15794,0.13111
200,0.03957,0.12565,0.1582,0.16648

R1,010,050,100,200
010,0.26173,0.15286,0.10137,0.05935
050,0.13705,0.28862,0.31175,0.24396
100,0.08513,0.27979,0.35775,0.35414
200,0.05059,0.21935,0.33631,0.4223

R2,010,050,100,200
010,0.06447,0.02515,0.01634,0.01007
050,0.02921,0.06341,0.07497,0.05727
100,0.01957,0.06086,0.07718,0.08597
200,0.01129,0.0581,0.08703,0.10099

R3,010,050,100,200
010,0.04183,0.00272,0.0044,0.00389
050,0.01105,0.01612,0.02065,0.01621
100,0.00425,0.01775,0.0239,0.02617
200,0.00153,0.01714,0.02885,0.03619

RL,010,050,100,200
010,0.21214,0.13728,0.08512,0.05476
050,0.12211,0.25623,0.28333,0.22938
100,0.0797,0.25956,0.33129,0.33577
200,0.04613,0.20557,0.31366,0.40131

RSU,010,050,100,200
010,0.09694,0.01783,0.00704,0.00215
050,0.01504,0.0778,0.08611,0.04219
100,0.00482,0.06431,0.12383,0.10678
200,0.00157,0.03293,0.09804,0.16476

RS,010,050,100,200
010,0.06628,0.01204,0.00516,0.0016
050,0.01047,0.07015,0.08089,0.03988
100,0.00341,0.05972,0.11946,0.10389
200,0.00113,0.0309,0.09536,0.16229

