Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.00325,0.00488,0.01011,0.00993
100,0.00164,0.00582,0.00662,0.01724
200,0.00082,0.00449,0.00877,0.01955

RW,010,050,100,200
010,0.22829,0.35759,0.36683,0.41268
050,0.07379,0.19894,0.26456,0.31005
100,0.04938,0.1488,0.22152,0.28668
200,0.02555,0.09495,0.15617,0.23465

R1,010,050,100,200
010,0.27002,0.46275,0.50159,0.56919
050,0.08728,0.3149,0.43208,0.54559
100,0.05939,0.23671,0.39934,0.54324
200,0.03098,0.14802,0.27346,0.45688

R2,010,050,100,200
010,0.09222,0.11656,0.10235,0.12494
050,0.02374,0.07502,0.10504,0.13523
100,0.01538,0.05704,0.09854,0.14859
200,0.00774,0.03919,0.0724,0.12379

R3,010,050,100,200
010,0.0196,0.01964,0.01964,0.01792
050,0.00637,0.01771,0.03114,0.03133
100,0.00326,0.01809,0.02794,0.04328
200,0.00163,0.0123,0.02448,0.04184

RL,010,050,100,200
010,0.24652,0.43139,0.46954,0.54539
050,0.08249,0.29206,0.40958,0.51984
100,0.05612,0.21655,0.36388,0.51658
200,0.02937,0.14149,0.25749,0.43345

RSU,010,050,100,200
010,0.08136,0.22113,0.25959,0.3274
050,0.00797,0.08933,0.16979,0.27132
100,0.00314,0.0518,0.14031,0.27047
200,0.00096,0.02127,0.06899,0.18624

RS,010,050,100,200
010,0.04908,0.17513,0.21251,0.27929
050,0.00523,0.08055,0.15965,0.26049
100,0.00218,0.04823,0.13534,0.2652
200,0.0007,0.02003,0.06698,0.18359

