Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.0,0.0,0.0068,0.00326
100,0.0,0.00677,0.00579,0.01254
200,0.0,0.00464,0.00877,0.01352

RW,010,050,100,200
010,0.16076,0.0625,0.0419,0.02389
050,0.102,0.14379,0.12218,0.07728
100,0.07956,0.15398,0.16041,0.12262
200,0.04463,0.12583,0.16492,0.1637

R1,010,050,100,200
010,0.28144,0.13617,0.09726,0.05823
050,0.1488,0.29045,0.29624,0.21689
100,0.09888,0.30081,0.37571,0.35074
200,0.05905,0.22914,0.35664,0.43924

R2,010,050,100,200
010,0.06501,0.01948,0.01375,0.01011
050,0.01668,0.05572,0.0591,0.04713
100,0.01956,0.06737,0.07254,0.08648
200,0.0086,0.05752,0.07621,0.10502

R3,010,050,100,200
010,0.0103,0.00593,0.00156,0.0008
050,0.0,0.00503,0.0156,0.00971
100,0.00149,0.01665,0.01718,0.02662
200,0.0,0.01384,0.01966,0.03227

RL,010,050,100,200
010,0.21415,0.11515,0.08842,0.05293
050,0.12717,0.2682,0.27812,0.20736
100,0.0945,0.27401,0.34819,0.32709
200,0.05278,0.21234,0.33224,0.41901

RSU,010,050,100,200
010,0.07636,0.01238,0.0053,0.00186
050,0.01345,0.07283,0.0681,0.03144
100,0.00649,0.07388,0.12552,0.10028
200,0.00189,0.03538,0.1044,0.17222

RS,010,050,100,200
010,0.04375,0.00706,0.00348,0.00132
050,0.00814,0.06447,0.06273,0.02935
100,0.00479,0.06864,0.12066,0.0974
200,0.00136,0.03317,0.10146,0.16963

