Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,0.0,0.0,0.0,0.0
050,0.0,0.0,0.00508,0.00202
100,0.0,0.01028,0.00579,0.00933
200,0.0,0.01191,0.01294,0.01342

RW,010,050,100,200
010,0.13663,0.03513,0.02222,0.01231
050,0.2302,0.11591,0.07936,0.04441
100,0.31069,0.17034,0.12801,0.07953
200,0.32935,0.21526,0.18015,0.13028

R1,010,050,100,200
010,0.28995,0.08153,0.05354,0.03059
050,0.46776,0.2901,0.22276,0.13558
100,0.55746,0.44782,0.37598,0.26259
200,0.63697,0.56622,0.53397,0.43734

R2,010,050,100,200
010,0.06643,0.0114,0.00748,0.00528
050,0.05301,0.05557,0.04438,0.02935
100,0.12187,0.10059,0.07247,0.0646
200,0.10479,0.14375,0.11369,0.10451

R3,010,050,100,200
010,0.0103,0.00342,0.00084,0.00041
050,0.0,0.005,0.01168,0.00604
100,0.01183,0.02518,0.01708,0.01984
200,0.0,0.03527,0.02918,0.03208

RL,010,050,100,200
010,0.21976,0.06908,0.04869,0.02781
050,0.39976,0.26801,0.20921,0.12963
100,0.53318,0.40827,0.34854,0.24494
200,0.57172,0.525,0.49728,0.4172

RSU,010,050,100,200
010,0.07858,0.00645,0.00268,0.00093
050,0.18548,0.0724,0.04276,0.01671
100,0.30932,0.17829,0.12573,0.06257
200,0.36247,0.28764,0.25799,0.17051

RS,010,050,100,200
010,0.04471,0.00366,0.00176,0.00066
050,0.1313,0.064,0.03923,0.01558
100,0.26365,0.16786,0.12086,0.06066
200,0.30781,0.2767,0.25259,0.16792

