Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.00967,0.00471,0.00621
050,0.00967,1.0,0.12252,0.05427
100,0.00471,0.12252,1.0,0.17009
200,0.00621,0.05427,0.17009,1.0

RW,010,050,100,200
010,0.79796,0.07799,0.03886,0.0223
050,0.12824,0.59782,0.18664,0.10696
100,0.07162,0.24543,0.53505,0.20479
200,0.04135,0.17852,0.27863,0.47405

R1,010,050,100,200
010,1.0,0.15566,0.08871,0.04679
050,0.15566,1.0,0.47217,0.3102
100,0.08871,0.47217,1.0,0.55235
200,0.04679,0.3102,0.55235,1.0

R2,010,050,100,200
010,1.0,0.06564,0.03624,0.02051
050,0.06564,1.0,0.2633,0.1575
100,0.03624,0.2633,1.0,0.33556
200,0.02051,0.1575,0.33556,1.0

R3,010,050,100,200
010,1.0,0.02157,0.01385,0.00997
050,0.02157,1.0,0.17351,0.08854
100,0.01385,0.17351,1.0,0.2273
200,0.00997,0.08854,0.2273,1.0

RL,010,050,100,200
010,1.0,0.15032,0.07985,0.04375
050,0.15032,1.0,0.43044,0.29074
100,0.08437,0.43207,1.0,0.52973
200,0.04603,0.2875,0.5256,1.0

RSU,010,050,100,200
010,1.0,0.01887,0.00474,0.0014
050,0.01887,1.0,0.18791,0.06962
100,0.00474,0.18791,1.0,0.26241
200,0.0014,0.06962,0.26241,1.0

RS,010,050,100,200
010,1.0,0.01378,0.00325,0.00101
050,0.01378,1.0,0.18147,0.06696
100,0.00325,0.18147,1.0,0.25917
200,0.00101,0.06696,0.25917,1.0

