Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.0102,0.00175,0.00088
050,0.0102,1.0,0.1036,0.0201
100,0.00175,0.1036,1.0,0.09351
200,0.00088,0.0201,0.09351,1.0

RW,010,050,100,200
010,0.74312,0.11294,0.06219,0.02941
050,0.16535,0.59257,0.21397,0.11367
100,0.09996,0.27463,0.53101,0.19137
200,0.05383,0.19047,0.25398,0.47375

R1,010,050,100,200
010,1.0,0.22026,0.12782,0.06696
050,0.22026,1.0,0.51067,0.32193
100,0.12782,0.51067,1.0,0.51345
200,0.06696,0.32193,0.51345,1.0

R2,010,050,100,200
010,1.0,0.06911,0.04114,0.0167
050,0.06911,1.0,0.26933,0.13022
100,0.04114,0.26933,1.0,0.26471
200,0.0167,0.13022,0.26471,1.0

R3,010,050,100,200
010,1.0,0.02298,0.01212,0.00529
050,0.02298,1.0,0.15649,0.05034
100,0.01212,0.15649,1.0,0.14886
200,0.00529,0.05034,0.14886,1.0

RL,010,050,100,200
010,1.0,0.2082,0.12446,0.06437
050,0.2052,1.0,0.48339,0.30413
100,0.12284,0.48249,1.0,0.48702
200,0.06351,0.30347,0.49069,1.0

RSU,010,050,100,200
010,1.0,0.03631,0.01055,0.00257
050,0.03631,1.0,0.22152,0.07008
100,0.01055,0.22152,1.0,0.2196
200,0.00257,0.07008,0.2196,1.0

RS,010,050,100,200
010,1.0,0.0282,0.0081,0.00195
050,0.0282,1.0,0.21462,0.06716
100,0.0081,0.21462,1.0,0.21608
200,0.00195,0.06716,0.21608,1.0

