Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.29813,0.29813,0.27577
050,0.05742,1.0,0.53626,0.46412
100,0.02856,0.26342,1.0,0.56556
200,0.01324,0.11212,0.27721,1.0

RW,010,050,100,200
010,0.99153,0.67858,0.7027,0.71389
050,0.16563,0.78844,0.63181,0.60108
100,0.09092,0.33676,0.71214,0.55179
200,0.04645,0.17029,0.30343,0.63582

R1,010,050,100,200
010,1.0,0.80307,0.87624,0.9013
050,0.1813,1.0,0.90981,0.91818
100,0.10047,0.46091,1.0,0.90959
200,0.05115,0.23149,0.45251,1.0

R2,010,050,100,200
010,1.0,0.5532,0.55878,0.54123
050,0.11934,1.0,0.72462,0.66382
100,0.061,0.36411,1.0,0.72486
200,0.02939,0.16525,0.35888,1.0

R3,010,050,100,200
010,1.0,0.38911,0.39509,0.35568
050,0.07958,1.0,0.6141,0.53869
100,0.04078,0.30504,1.0,0.63307
200,0.01848,0.13204,0.3119,1.0

RL,010,050,100,200
010,1.0,0.78192,0.81925,0.85443
050,0.17643,1.0,0.888,0.90547
100,0.09802,0.44303,1.0,0.89989
200,0.04994,0.2258,0.44761,1.0

RSU,010,050,100,200
010,1.0,0.66366,0.75124,0.78576
050,0.03763,1.0,0.81608,0.82931
100,0.01124,0.21264,1.0,0.82785
200,0.00287,0.05378,0.20607,1.0

RS,010,050,100,200
010,1.0,0.63721,0.72722,0.76555
050,0.03251,1.0,0.81243,0.8259
100,0.00963,0.20787,1.0,0.82624
200,0.00244,0.05208,0.20369,1.0

