Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.09457,0.17309,0.11307
050,0.01451,1.0,0.25511,0.17712
100,0.01414,0.12543,1.0,0.1438
200,0.00445,0.04345,0.07224,1.0

RW,010,050,100,200
010,0.99246,0.52905,0.60528,0.66487
050,0.11607,0.80677,0.5083,0.47083
100,0.0706,0.28394,0.73518,0.41446
200,0.0407,0.14396,0.23873,0.65345

R1,010,050,100,200
010,1.0,0.74463,0.82346,0.90409
050,0.14752,1.0,0.82177,0.80516
100,0.08323,0.41874,1.0,0.7525
200,0.0462,0.20794,0.38181,1.0

R2,010,050,100,200
010,1.0,0.36861,0.41212,0.44385
050,0.06867,1.0,0.50222,0.43369
100,0.0387,0.25269,1.0,0.38371
200,0.02071,0.1102,0.19449,1.0

R3,010,050,100,200
010,1.0,0.17033,0.23058,0.19795
050,0.02913,1.0,0.34819,0.26785
100,0.02043,0.17326,1.0,0.2253
200,0.00854,0.06694,0.11371,1.0

RL,010,050,100,200
010,1.0,0.63795,0.73307,0.84687
050,0.12846,1.0,0.75429,0.75931
100,0.07681,0.38544,1.0,0.7081
200,0.04332,0.19614,0.36183,1.0

RSU,010,050,100,200
010,1.0,0.5059,0.5567,0.72213
050,0.02137,1.0,0.62083,0.60074
100,0.00616,0.16232,1.0,0.52948
200,0.00203,0.04056,0.13752,1.0

RS,010,050,100,200
010,1.0,0.45738,0.50337,0.68343
050,0.01698,1.0,0.61333,0.59302
100,0.0048,0.15746,1.0,0.52518
200,0.00163,0.03896,0.13516,1.0

