Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.01451,0.01414,0.00445
050,0.09457,1.0,0.12543,0.04345
100,0.17309,0.25511,1.0,0.07224
200,0.11307,0.17712,0.1438,1.0

RW,010,050,100,200
010,0.62635,0.06172,0.03522,0.01955
050,0.36837,0.47186,0.14813,0.07001
100,0.43923,0.32606,0.42006,0.12111
200,0.50409,0.32629,0.26874,0.37537

R1,010,050,100,200
010,1.0,0.14752,0.08323,0.0462
050,0.74463,1.0,0.41874,0.20794
100,0.82346,0.82177,1.0,0.38181
200,0.90409,0.80516,0.7525,1.0

R2,010,050,100,200
010,1.0,0.06867,0.0387,0.02071
050,0.36861,1.0,0.25269,0.1102
100,0.41212,0.50222,1.0,0.19449
200,0.44385,0.43369,0.38371,1.0

R3,010,050,100,200
010,1.0,0.02913,0.02043,0.00854
050,0.17033,1.0,0.17326,0.06694
100,0.23058,0.34819,1.0,0.11371
200,0.19795,0.26785,0.2253,1.0

RL,010,050,100,200
010,1.0,0.12694,0.07438,0.04331
050,0.64555,1.0,0.38473,0.19609
100,0.75817,0.75651,1.0,0.35943
200,0.84861,0.75925,0.71292,1.0

RSU,010,050,100,200
010,1.0,0.02137,0.00616,0.00203
050,0.5059,1.0,0.16232,0.04056
100,0.5567,0.62083,1.0,0.13752
200,0.72213,0.60074,0.52948,1.0

RS,010,050,100,200
010,1.0,0.01698,0.0048,0.00163
050,0.45738,1.0,0.15746,0.03896
100,0.50337,0.61333,1.0,0.13516
200,0.68343,0.59302,0.52518,1.0

