Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.0,0.0,0.01133
050,0.0,1.0,0.06765,0.05364
100,0.0,0.03213,1.0,0.11557
200,0.00044,0.01256,0.05709,1.0

RW,010,050,100,200
010,0.97094,0.45948,0.4504,0.51315
050,0.10865,0.78056,0.37001,0.3702
100,0.05466,0.19464,0.70034,0.39089
200,0.03059,0.11321,0.22141,0.62012

R1,010,050,100,200
010,1.0,0.66147,0.66398,0.71976
050,0.13655,1.0,0.64245,0.68995
100,0.06644,0.31406,1.0,0.73541
200,0.03609,0.16842,0.36773,1.0

R2,010,050,100,200
010,1.0,0.16776,0.1402,0.14346
050,0.03337,1.0,0.25073,0.26213
100,0.01325,0.12117,1.0,0.32721
200,0.00667,0.06277,0.16289,1.0

R3,010,050,100,200
010,1.0,0.03058,0.03058,0.05285
050,0.00567,1.0,0.11768,0.11405
100,0.00264,0.05609,1.0,0.17957
200,0.00221,0.0268,0.08921,1.0

RL,010,050,100,200
010,1.0,0.60942,0.61013,0.70238
050,0.12402,1.0,0.59047,0.64297
100,0.06193,0.28475,1.0,0.70353
200,0.03516,0.16173,0.35268,1.0

RSU,010,050,100,200
010,1.0,0.43015,0.43439,0.50607
050,0.01984,1.0,0.37884,0.45844
100,0.00471,0.0924,1.0,0.51685
200,0.00138,0.02779,0.12993,1.0

RS,010,050,100,200
010,1.0,0.37901,0.38564,0.45589
050,0.0154,1.0,0.36828,0.44903
100,0.0036,0.08815,1.0,0.51252
200,0.00106,0.02643,0.12761,1.0

