Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.0,0.0,0.00044
050,0.0,1.0,0.03213,0.01256
100,0.0,0.06765,1.0,0.05709
200,0.01133,0.05364,0.11557,1.0

RW,010,050,100,200
010,0.63306,0.05867,0.02745,0.0158
050,0.34504,0.48129,0.10981,0.05522
100,0.35799,0.24646,0.42584,0.11976
200,0.3972,0.28691,0.26913,0.37979

R1,010,050,100,200
010,1.0,0.13655,0.06644,0.03609
050,0.66147,1.0,0.31406,0.16842
100,0.66398,0.64245,1.0,0.36773
200,0.71976,0.68995,0.73541,1.0

R2,010,050,100,200
010,1.0,0.03337,0.01325,0.00667
050,0.16776,1.0,0.12117,0.06277
100,0.1402,0.25073,1.0,0.16289
200,0.14346,0.26213,0.32721,1.0

R3,010,050,100,200
010,1.0,0.00567,0.00264,0.00221
050,0.03058,1.0,0.05609,0.0268
100,0.03058,0.11768,1.0,0.08921
200,0.05285,0.11405,0.17957,1.0

RL,010,050,100,200
010,1.0,0.12563,0.06109,0.03521
050,0.60038,1.0,0.28822,0.15682
100,0.62004,0.58345,1.0,0.35178
200,0.70294,0.66284,0.70526,1.0

RSU,010,050,100,200
010,1.0,0.01984,0.00471,0.00138
050,0.43015,1.0,0.0924,0.02779
100,0.43439,0.37884,1.0,0.12993
200,0.50607,0.45844,0.51685,1.0

RS,010,050,100,200
010,1.0,0.0154,0.0036,0.00106
050,0.37901,1.0,0.08815,0.02643
100,0.38564,0.36828,1.0,0.12761
200,0.45589,0.44903,0.51252,1.0

