Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.02902,0.0,0.0
050,0.00498,1.0,0.2063,0.13079
100,0.0,0.1003,1.0,0.41806
200,0.0,0.0317,0.20887,1.0

RW,010,050,100,200
010,0.96024,0.40566,0.47154,0.47995
050,0.09542,0.76141,0.47144,0.46726
100,0.05513,0.25693,0.68865,0.5101
200,0.03106,0.13654,0.28677,0.60953

R1,010,050,100,200
010,1.0,0.55346,0.665,0.6949
050,0.11779,1.0,0.76758,0.80091
100,0.0699,0.3855,1.0,0.89202
200,0.03719,0.20361,0.4526,1.0

R2,010,050,100,200
010,1.0,0.18244,0.22075,0.24466
050,0.0357,1.0,0.43297,0.37336
100,0.0211,0.21534,1.0,0.63408
200,0.01191,0.0933,0.32001,1.0

R3,010,050,100,200
010,1.0,0.06235,0.04915,0.05754
050,0.01143,1.0,0.28686,0.20347
100,0.00412,0.14118,1.0,0.50362
200,0.00248,0.05009,0.25284,1.0

RL,010,050,100,200
010,1.0,0.49929,0.61511,0.64499
050,0.10781,1.0,0.72471,0.76611
100,0.0642,0.36193,1.0,0.87309
200,0.03515,0.19261,0.44084,1.0

RSU,010,050,100,200
010,1.0,0.28022,0.3769,0.44841
050,0.01347,1.0,0.54168,0.58224
100,0.00445,0.1379,1.0,0.76685
200,0.00138,0.03808,0.19842,1.0

RS,010,050,100,200
010,1.0,0.23174,0.32481,0.40253
050,0.00984,1.0,0.53303,0.57375
100,0.00331,0.13319,1.0,0.76442
200,0.00106,0.03649,0.19595,1.0

