Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.00498,0.0,0.0
050,0.02902,1.0,0.1003,0.0317
100,0.0,0.2063,1.0,0.20887
200,0.0,0.13079,0.41806,1.0

RW,010,050,100,200
010,0.62609,0.05459,0.03074,0.01616
050,0.29092,0.47945,0.14662,0.07423
100,0.33822,0.32379,0.42601,0.16163
200,0.37277,0.33928,0.35021,0.38111

R1,010,050,100,200
010,1.0,0.11779,0.0699,0.03719
050,0.55346,1.0,0.3855,0.20361
100,0.665,0.76758,1.0,0.4526
200,0.6949,0.80091,0.89202,1.0

R2,010,050,100,200
010,1.0,0.0357,0.0211,0.01191
050,0.18244,1.0,0.21534,0.0933
100,0.22075,0.43297,1.0,0.32001
200,0.24466,0.37336,0.63408,1.0

R3,010,050,100,200
010,1.0,0.01143,0.00412,0.00248
050,0.06235,1.0,0.14118,0.05009
100,0.04915,0.28686,1.0,0.25284
200,0.05754,0.20347,0.50362,1.0

RL,010,050,100,200
010,1.0,0.10623,0.06499,0.03474
050,0.50856,1.0,0.36369,0.19466
100,0.60621,0.7213,1.0,0.44292
200,0.65128,0.75787,0.86895,1.0

RSU,010,050,100,200
010,1.0,0.01347,0.00445,0.00138
050,0.28022,1.0,0.1379,0.03808
100,0.3769,0.54168,1.0,0.19842
200,0.44841,0.58224,0.76685,1.0

RS,010,050,100,200
010,1.0,0.00984,0.00331,0.00106
050,0.23174,1.0,0.13319,0.03649
100,0.32481,0.53303,1.0,0.19595
200,0.40253,0.57375,0.76442,1.0

