Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.00592,0.0,0.0
050,0.00592,1.0,0.19447,0.03517
100,0.0,0.19447,1.0,0.17208
200,0.0,0.03517,0.17208,1.0

RW,010,050,100,200
010,0.7606,0.10487,0.05733,0.0276
050,0.15897,0.59118,0.23309,0.11468
100,0.09912,0.29968,0.5289,0.20775
200,0.0527,0.18271,0.26414,0.47049

R1,010,050,100,200
010,1.0,0.21426,0.1265,0.06746
050,0.21426,1.0,0.52875,0.31
100,0.1265,0.52875,1.0,0.53377
200,0.06746,0.31,0.53377,1.0

R2,010,050,100,200
010,1.0,0.05809,0.02982,0.00939
050,0.05809,1.0,0.32487,0.13086
100,0.02982,0.32487,1.0,0.31936
200,0.00939,0.13086,0.31936,1.0

R3,010,050,100,200
010,1.0,0.01431,0.00441,0.00158
050,0.01431,1.0,0.24166,0.06258
100,0.00441,0.24166,1.0,0.222
200,0.00158,0.06258,0.222,1.0

RL,010,050,100,200
010,1.0,0.19803,0.11907,0.0628
050,0.20073,1.0,0.50389,0.2944
100,0.1177,0.50069,1.0,0.51636
200,0.06201,0.29502,0.50932,1.0

RSU,010,050,100,200
010,1.0,0.03156,0.0094,0.00247
050,0.03156,1.0,0.23719,0.06437
100,0.0094,0.23719,1.0,0.24549
200,0.00247,0.06437,0.24549,1.0

RS,010,050,100,200
010,1.0,0.02428,0.00704,0.00185
050,0.02428,1.0,0.23049,0.06158
100,0.00704,0.23049,1.0,0.24214
200,0.00185,0.06158,0.24214,1.0

