Rows:CheckedSize,Columns:referencesSize

R4,010,050,100,200
010,1.0,0.02367,0.0,0.0
050,0.00338,1.0,0.29503,0.08946
100,0.0,0.14508,1.0,0.25961
200,0.0,0.02189,0.12871,1.0

RW,010,050,100,200
010,0.95397,0.47373,0.49782,0.45902
050,0.10378,0.7773,0.49878,0.42614
100,0.05708,0.27263,0.70002,0.4394
200,0.02837,0.12898,0.24155,0.61886

R1,010,050,100,200
010,1.0,0.64179,0.69321,0.70393
050,0.12881,1.0,0.78928,0.76683
100,0.06965,0.39765,1.0,0.79747
200,0.03544,0.19428,0.40122,1.0

R2,010,050,100,200
010,1.0,0.19189,0.18003,0.10806
050,0.03425,1.0,0.48706,0.32667
100,0.01627,0.24378,1.0,0.47856
200,0.00491,0.08183,0.2397,1.0

R3,010,050,100,200
010,1.0,0.05071,0.02828,0.01952
050,0.00833,1.0,0.36432,0.15758
100,0.00239,0.18084,1.0,0.3338
200,0.00083,0.03904,0.16634,1.0

RL,010,050,100,200
010,1.0,0.59175,0.65139,0.65293
050,0.12074,1.0,0.75206,0.72824
100,0.06479,0.3766,1.0,0.77159
200,0.03258,0.18491,0.38281,1.0

RSU,010,050,100,200
010,1.0,0.38158,0.43678,0.45537
050,0.01649,1.0,0.58192,0.52665
100,0.00475,0.14905,1.0,0.60457
200,0.00124,0.03428,0.15411,1.0

RS,010,050,100,200
010,1.0,0.33293,0.38125,0.40306
050,0.01262,1.0,0.57393,0.51736
100,0.00355,0.14429,1.0,0.60083
200,0.00093,0.03274,0.15171,1.0

