comparison,050,100,200,400,avgPerRouge

to050_R1,0.0,0.09,0.08,0.11,0.07
to050_R2,0.0,0.06,0.0,-0.08,-0.005
to050_RL,0.0,0.07,-0.03,0.09,0.0325
to050_RSU,0.0,0.07,0.15,0.08,0.075
avgPerLen,0.000,0.073,0.050,0.050,0.043125

to100_R1,0.07,0.0,0.04,0.11,0.055
to100_R2,-0.02,0.0,0.0,-0.02,-0.01
to100_RL,0.04,0.0,0.11,0.09,0.06
to100_RSU,-0.04,0.0,0.09,0.06,0.0275
avgPerLen,0.012,0.000,0.060,0.060,0.033125

to200_R1,-0.04,-0.16,0.0,0.03,-0.0425
to200_R2,0.05,-0.05,0.0,0.0,-1.38777878078e-17
to200_RL,-0.02,-0.2,0.0,-0.02,-0.06
to200_RSU,0.0,-0.06,0.0,0.0,-0.015
avgPerLen,-0.003,-0.118,0.000,0.003,-0.029375

to400_R1,0.0,-0.11,-0.09,0.0,-0.05
to400_R2,0.07,-0.09,-0.02,0.0,-0.01
to400_RL,-0.11,-0.2,-0.05,0.0,-0.09
to400_RSU,-0.02,-0.06,-0.04,0.0,-0.03
avgPerLen,-0.015,-0.115,-0.050,0.000,-0.045

toOneShorter_R1,-999,0.09,0.04,0.03,0.04
toOneShorter_R2,-999,0.06,0.0,0.0,0.015
toOneShorter_RL,-999,0.07,0.11,-0.02,0.04
toOneShorter_RSU,-999,0.07,0.09,0.0,0.04
avgPerLen,0.000,0.073,0.060,0.003,0.03375

toOneLonger_R1,0.07,-0.16,-0.09,-999,-0.045
toOneLonger_R2,-0.02,-0.05,-0.02,-999,-0.0225
toOneLonger_RL,0.04,-0.2,-0.05,-999,-0.0525
toOneLonger_RSU,-0.04,-0.06,-0.04,-999,-0.035
avgPerLen,0.012,-0.118,-0.050,0.000,-0.03875

diffLens3_R1,0.0,-0.09,-0.09,0.07,-0.0275
diffLens3_R2,0.02,-0.05,-0.02,-0.06,-0.0275
diffLens3_RL,-0.05,-0.17,0.0,-0.02,-0.06
diffLens3_RSU,0.02,-0.04,-0.09,-0.05,-0.04
avgPerLen,-0.002,-0.088,-0.050,-0.015,-0.03875

diffLensAll_R1,0.04,-0.11,0.0,0.05,-0.005
diffLensAll_R2,-0.02,0.0,-0.07,-0.02,-0.0275
diffLensAll_RL,-0.08,-0.13,0.04,0.0,-0.0425
diffLensAll_RSU,0.07,-0.11,-0.04,0.0,-0.02
avgPerLen,0.003,-0.087,-0.018,0.008,-0.02375

