comparison,010,050,100,200,avgPerRouge

to010_R1,0.0,-0.09,-0.35,-0.35,-0.1975
to010_R2,0.0,-0.27,-0.27,-0.26,-0.2
to010_RL,0.0,-0.05,-0.17,-0.4,-0.155
to010_RSU,0.0,-0.17,-0.27,-0.44,-0.22
avgPerLen,0.000,-0.145,-0.265,-0.362,-0.193125

to050_R1,0.13,0.0,-0.18,-0.31,-0.09
to050_R2,-0.27,0.0,-0.18,0.0,-0.1125
to050_RL,0.0,0.0,-0.13,-0.36,-0.1225
to050_RSU,0.14,0.0,-0.14,-0.4,-0.1
avgPerLen,0.000,0.000,-0.158,-0.268,-0.10625

to100_R1,0.13,0.04,0.0,-0.17,2.77555756156e-17
to100_R2,-0.13,-0.09,0.0,0.05,-0.0425
to100_RL,0.0,0.0,0.0,-0.22,-0.055
to100_RSU,0.0,0.05,0.0,-0.26,-0.0525
avgPerLen,0.000,0.000,0.000,-0.150,-0.0375

to200_R1,0.13,0.0,-0.04,0.0,0.0225
to200_R2,-0.27,0.0,0.0,0.0,-0.0675
to200_RL,0.0,0.04,0.0,0.0,0.01
to200_RSU,0.0,0.09,0.0,0.0,0.0225
avgPerLen,-0.035,0.033,-0.010,0.000,-0.003125

toOneShorter_R1,-999,-0.09,-0.18,-0.17,-0.11
toOneShorter_R2,-999,-0.27,-0.18,0.05,-0.1
toOneShorter_RL,-999,-0.05,-0.13,-0.22,-0.1
toOneShorter_RSU,-999,-0.17,-0.14,-0.26,-0.1425
avgPerLen,0.000,-0.145,-0.158,-0.150,-0.113125

toOneLonger_R1,0.13,0.04,-0.04,-999,0.0325
toOneLonger_R2,-0.27,-0.09,0.0,-999,-0.09
toOneLonger_RL,0.0,0.0,0.0,-999,0.0
toOneLonger_RSU,0.14,0.05,0.0,-999,0.0475
avgPerLen,0.000,0.000,-0.010,0.000,-0.0025

diffLens2_R1,0.13,-0.05,-0.09,-0.17,-0.045
diffLens2_R2,-0.27,-0.05,0.0,0.0,-0.08
diffLens2_RL,0.14,-0.05,-0.04,-0.18,-0.0325
diffLens2_RSU,0.14,0.05,0.0,-0.09,0.025
avgPerLen,0.035,-0.025,-0.033,-0.110,-0.033125

diffLensAll_R1,0.13,0.04,-0.04,-0.13,2.77555756156e-17
diffLensAll_R2,-0.27,0.0,-0.04,0.05,-0.065
diffLensAll_RL,0.14,0.0,-0.09,-0.14,-0.0225
diffLensAll_RSU,0.14,0.05,0.0,-0.13,0.015
avgPerLen,0.035,0.023,-0.042,-0.087,-0.018125

