comparison,010,050,100,200,avgPerRouge

to010_R1,0.0,-0.07,-0.18,-0.34,-0.1475
to010_R2,0.0,-0.1,-0.15,-0.28,-0.1325
to010_RL,0.0,-0.15,-0.15,-0.35,-0.1625
to010_RSU,0.0,-0.33,-0.24,-0.44,-0.2525
avgPerLen,0.000,-0.162,-0.180,-0.352,-0.17375

to050_R1,-0.1,0.0,-0.07,-0.29,-0.115
to050_R2,-0.21,0.0,-0.02,-0.06,-0.0725
to050_RL,-0.1,0.0,-0.09,-0.27,-0.115
to050_RSU,-0.09,0.0,-0.11,-0.4,-0.15
avgPerLen,-0.125,0.000,-0.072,-0.255,-0.113125

to100_R1,-0.13,0.07,0.0,-0.12,-0.045
to100_R2,-0.18,0.06,0.0,-0.03,-0.0375
to100_RL,-0.23,0.09,0.0,-0.12,-0.065
to100_RSU,-0.11,0.07,0.0,-0.21,-0.0625
avgPerLen,-0.162,0.073,0.000,-0.120,-0.0525

to200_R1,-0.24,-0.07,-0.02,0.0,-0.0825
to200_R2,-0.35,-0.1,-0.03,0.0,-0.12
to200_RL,-0.31,-0.11,-0.03,0.0,-0.1125
to200_RSU,-0.34,-0.07,-0.03,0.0,-0.11
avgPerLen,-0.310,-0.087,-0.028,0.000,-0.10625

toOneShorter_R1,-999,-0.07,-0.07,-0.12,-0.065
toOneShorter_R2,-999,-0.1,-0.02,-0.03,-0.0375
toOneShorter_RL,-999,-0.15,-0.09,-0.12,-0.09
toOneShorter_RSU,-999,-0.33,-0.11,-0.21,-0.1625
avgPerLen,0.000,-0.162,-0.072,-0.120,-0.08875

toOneLonger_R1,-0.1,0.07,-0.02,-999,-0.0125
toOneLonger_R2,-0.21,0.06,-0.03,-999,-0.045
toOneLonger_RL,-0.1,0.09,-0.03,-999,-0.01
toOneLonger_RSU,-0.09,0.07,-0.03,-999,-0.0125
avgPerLen,-0.125,0.073,-0.028,0.000,-0.02

diffLens2_R1,-0.01,0.01,-0.06,-0.12,-0.045
diffLens2_R2,-0.13,-0.02,-0.06,-0.03,-0.06
diffLens2_RL,-0.08,-0.03,-0.06,-0.12,-0.0725
diffLens2_RSU,-0.03,-0.03,-0.06,-0.12,-0.06
avgPerLen,-0.062,-0.017,-0.060,-0.098,-0.059375

diffLensAll_R1,-0.1,0.02,-0.01,-0.12,-0.0525
diffLensAll_R2,-0.22,0.01,-0.01,-0.01,-0.0575
diffLensAll_RL,-0.17,0.0,-0.02,-0.1,-0.0725
diffLensAll_RSU,-0.12,0.01,-0.02,-0.15,-0.07
avgPerLen,-0.152,0.010,-0.015,-0.095,-0.063125

