comparison,010,050,100,200,avgPerRouge

to010_R1,0.0,0.12,-0.05,-0.07,0.0
to010_R2,0.0,0.0,-0.16,-0.23,-0.0975
to010_RL,0.0,0.11,0.0,-0.08,0.0075
to010_RSU,0.0,0.02,-0.05,-0.13,-0.04
avgPerLen,0.000,0.062,-0.065,-0.128,-0.0325

to050_R1,-0.07,0.0,-0.07,-0.12,-0.065
to050_R2,-0.35,0.0,-0.03,-0.04,-0.105
to050_RL,-0.08,0.0,-0.07,-0.1,-0.0625
to050_RSU,-0.3,0.0,-0.08,-0.14,-0.13
avgPerLen,-0.200,0.000,-0.062,-0.100,-0.090625

to100_R1,-0.14,0.07,0.0,-0.05,-0.03
to100_R2,-0.41,0.1,0.0,-0.03,-0.085
to100_RL,-0.19,0.11,0.0,-0.04,-0.03
to100_RSU,-0.48,0.07,0.0,-0.06,-0.1175
avgPerLen,-0.305,0.088,0.000,-0.045,-0.065625

to200_R1,-0.15,-0.03,-0.01,0.0,-0.0475
to200_R2,-0.47,-0.08,-0.06,0.0,-0.1525
to200_RL,-0.18,-0.05,0.0,0.0,-0.0575
to200_RSU,-0.46,-0.04,-0.02,0.0,-0.13
avgPerLen,-0.315,-0.050,-0.022,0.000,-0.096875

toOneShorter_R1,-999,0.12,-0.07,-0.05,0.0
toOneShorter_R2,-999,0.0,-0.03,-0.03,-0.015
toOneShorter_RL,-999,0.11,-0.07,-0.04,3.12250225676e-17
toOneShorter_RSU,-999,0.02,-0.08,-0.06,-0.03
avgPerLen,0.000,0.062,-0.062,-0.045,-0.01125

toOneLonger_R1,-0.07,0.07,-0.01,-999,-0.0025
toOneLonger_R2,-0.35,0.1,-0.06,-999,-0.0775
toOneLonger_RL,-0.08,0.11,0.0,-999,0.0075
toOneLonger_RSU,-0.3,0.07,-0.02,-999,-0.0625
avgPerLen,-0.200,0.088,-0.022,0.000,-0.03375

diffLens2_R1,-0.07,0.09,0.0,-0.04,-0.005
diffLens2_R2,-0.25,0.07,-0.06,-0.02,-0.065
diffLens2_RL,-0.09,0.1,0.0,-0.03,-0.005
diffLens2_RSU,-0.32,0.09,0.0,-0.03,-0.065
avgPerLen,-0.182,0.087,-0.015,-0.030,-0.035

diffLensAll_R1,-0.09,0.05,0.0,-0.04,-0.02
diffLensAll_R2,-0.36,0.04,-0.02,0.0,-0.085
diffLensAll_RL,-0.13,0.05,0.01,-0.02,-0.0225
diffLensAll_RSU,-0.34,0.06,0.0,-0.04,-0.08
avgPerLen,-0.230,0.050,-0.003,-0.025,-0.051875

