comparison,010,050,100,200,avgPerRouge

to010_R1,0.0,0.45,0.06,-0.05,0.115
to010_R2,0.0,0.14,-0.1,-0.07,-0.0075
to010_RL,0.0,0.39,0.05,-0.04,0.1
to010_RSU,0.0,0.44,0.2,-0.03,0.1525
avgPerLen,0.000,0.355,0.052,-0.048,0.09

to050_R1,0.0,0.0,0.0,0.03,0.0075
to050_R2,-0.12,0.0,0.02,0.04,-0.015
to050_RL,0.0,0.0,-0.04,0.02,-0.005
to050_RSU,0.11,0.0,0.14,0.08,0.0825
avgPerLen,-0.003,0.000,0.030,0.042,0.0175

to100_R1,0.0,0.01,0.0,0.04,0.0125
to100_R2,-0.12,-0.05,0.0,0.04,-0.0325
to100_RL,-0.11,0.15,0.0,0.03,0.0175
to100_RSU,0.11,0.12,0.0,0.04,0.0675
avgPerLen,-0.030,0.057,0.000,0.037,0.01625

to200_R1,-0.06,0.02,-0.04,0.0,-0.02
to200_R2,-0.34,-0.01,-0.02,0.0,-0.0925
to200_RL,-0.06,0.02,0.01,0.0,-0.0075
to200_RSU,-0.06,0.02,0.06,0.0,0.005
avgPerLen,-0.130,0.013,0.002,0.000,-0.02875

toOneShorter_R1,-999,0.45,0.0,0.04,0.1225
toOneShorter_R2,-999,0.14,0.02,0.04,0.05
toOneShorter_RL,-999,0.39,-0.04,0.03,0.095
toOneShorter_RSU,-999,0.44,0.14,0.04,0.155
avgPerLen,0.000,0.355,0.030,0.037,0.105625

toOneLonger_R1,0.0,0.01,-0.04,-999,-0.0075
toOneLonger_R2,-0.12,-0.05,-0.02,-999,-0.0475
toOneLonger_RL,0.0,0.15,0.01,-999,0.04
toOneLonger_RSU,0.11,0.12,0.06,-999,0.0725
avgPerLen,-0.003,0.057,0.002,0.000,0.014375

diffLens2_R1,0.29,0.13,-0.04,0.03,0.1025
diffLens2_R2,-0.34,-0.03,-0.07,0.04,-0.1
diffLens2_RL,0.06,0.12,0.05,0.02,0.0625
diffLens2_RSU,0.4,0.1,0.05,0.07,0.155
avgPerLen,0.103,0.080,-0.003,0.040,0.055

diffLensAll_R1,0.0,0.05,0.0,0.01,0.015
diffLensAll_R2,-0.34,0.01,-0.02,0.05,-0.075
diffLensAll_RL,0.06,0.17,0.01,0.01,0.0625
diffLensAll_RSU,0.17,0.04,0.1,0.01,0.08
avgPerLen,-0.027,0.068,0.022,0.020,0.020625

