ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00338,0.00422,0.00732,0.00947,0.00303,0.00332,0.0046,0.00453,0.0032,0.00371,0.00565,0.00609
RW,0.09207,0.1026,0.11425,0.12645,0.13547,0.1366,0.12585,0.10864,0.10945,0.11705,0.11967,0.11622
R1,0.24884,0.30622,0.36925,0.44205,0.21631,0.23681,0.23162,0.21042,0.2313,0.26696,0.28459,0.28352
R2,0.04066,0.04724,0.06388,0.08587,0.03558,0.03643,0.03996,0.04101,0.03793,0.04111,0.04915,0.05519
R3,0.01112,0.01278,0.01706,0.02351,0.00981,0.00989,0.01068,0.01123,0.01042,0.01115,0.01313,0.01511
RL,0.21466,0.27412,0.34251,0.4156,0.18646,0.21179,0.21481,0.19788,0.19945,0.23884,0.26395,0.2666
RSU,0.06303,0.0888,0.12731,0.17826,0.04818,0.05559,0.05905,0.05751,0.0545,0.06825,0.0806,0.08526
RS,0.05474,0.08354,0.1241,0.17618,0.04168,0.05206,0.05737,0.05669,0.04721,0.06403,0.07838,0.08409


2
R4,0.02198,0.01764,0.02209,0.02734,0.01846,0.0131,0.0139,0.01747,0.02006,0.01502,0.01705,0.02103
RW,0.1126,0.116,0.13257,0.12875,0.16469,0.15343,0.14581,0.14468,0.13359,0.13201,0.13873,0.13446
R1,0.3029,0.34478,0.42766,0.44611,0.26078,0.26431,0.26803,0.27803,0.28013,0.29911,0.32939,0.33833
R2,0.07743,0.07607,0.10023,0.11752,0.06611,0.05781,0.0627,0.07331,0.07128,0.06566,0.07711,0.08916
R3,0.03667,0.02976,0.03877,0.04684,0.03101,0.02232,0.02426,0.02945,0.03359,0.0255,0.02983,0.03571
RL,0.26142,0.30697,0.39184,0.41368,0.22499,0.23525,0.24555,0.25779,0.24173,0.26626,0.30178,0.31369
RSU,0.09557,0.11635,0.16798,0.17204,0.07092,0.07126,0.07765,0.0925,0.08127,0.08823,0.10604,0.11479
RS,0.08627,0.11081,0.16454,0.16989,0.0636,0.06753,0.0758,0.09116,0.07308,0.08377,0.10362,0.11318


L
R4,0.01437,0.01761,0.02117,0.03331,0.01329,0.01416,0.01359,0.01492,0.01381,0.01569,0.01655,0.02059
RW,0.09436,0.11429,0.12927,0.15054,0.15564,0.15614,0.14467,0.12149,0.1167,0.13185,0.13643,0.13433
R1,0.24893,0.33743,0.41284,0.51578,0.24393,0.26697,0.26308,0.23107,0.24487,0.29793,0.32128,0.31898
R2,0.05098,0.07062,0.09653,0.14099,0.04962,0.05579,0.06163,0.06313,0.05,0.0623,0.07521,0.08716
R3,0.02044,0.02784,0.03665,0.05531,0.01934,0.02222,0.02346,0.02478,0.01982,0.0247,0.0286,0.0342
RL,0.21303,0.29971,0.37943,0.48269,0.20743,0.23708,0.24171,0.21619,0.20902,0.2646,0.29522,0.29847
RSU,0.06612,0.10972,0.158,0.23752,0.06312,0.07214,0.07576,0.06754,0.06313,0.08686,0.1023,0.10501
RS,0.0579,0.10418,0.15463,0.23533,0.05492,0.06825,0.07391,0.06673,0.05509,0.08229,0.0999,0.10382


M
R4,0.00253,0.00619,0.00985,0.02563,0.00222,0.00462,0.00651,0.01214,0.00237,0.00529,0.00783,0.01647
RW,0.09413,0.10782,0.11899,0.14443,0.13846,0.14438,0.13619,0.12318,0.1119,0.12328,0.12682,0.13282
R1,0.25654,0.3212,0.38673,0.49751,0.2231,0.25018,0.25241,0.23557,0.23845,0.28106,0.30517,0.31954
R2,0.04114,0.05306,0.07301,0.12577,0.03589,0.04105,0.04778,0.05956,0.0383,0.04625,0.0577,0.08079
R3,0.00866,0.01445,0.02096,0.04452,0.00767,0.01101,0.01383,0.02113,0.00813,0.01249,0.01665,0.02865
RL,0.22124,0.28671,0.35542,0.46403,0.19224,0.22336,0.23196,0.21972,0.20554,0.25091,0.28045,0.29804
RSU,0.06322,0.09615,0.13605,0.21777,0.04797,0.06045,0.06838,0.06896,0.05437,0.07402,0.09068,0.10457
RS,0.05468,0.09066,0.13273,0.21557,0.04124,0.0567,0.06651,0.06809,0.04686,0.06956,0.08828,0.10331


N
R4,0.00914,0.01237,0.01755,0.03135,0.00725,0.00873,0.01004,0.01268,0.00808,0.01023,0.01277,0.01805
RW,0.0986,0.11212,0.12934,0.15072,0.13015,0.13652,0.13049,0.1105,0.11204,0.12297,0.12977,0.12734
R1,0.27699,0.33662,0.41928,0.5212,0.21573,0.23728,0.24094,0.21209,0.24239,0.27819,0.3059,0.30129
R2,0.05129,0.06543,0.09628,0.14094,0.03989,0.04608,0.05518,0.05724,0.04485,0.05404,0.07012,0.08135
R3,0.01723,0.02299,0.0337,0.05471,0.01357,0.01622,0.01932,0.02217,0.01518,0.01901,0.02455,0.03153
RL,0.22965,0.29702,0.38384,0.48552,0.17882,0.20932,0.22048,0.19755,0.20094,0.24543,0.27996,0.28064
RSU,0.07251,0.10633,0.15931,0.2422,0.04469,0.05541,0.06215,0.05684,0.05516,0.07271,0.08929,0.09191
RS,0.06336,0.10075,0.15587,0.24001,0.03877,0.05219,0.06056,0.05615,0.04798,0.06862,0.0871,0.09084


O
R4,0.00346,0.00471,0.00906,0.01821,0.00298,0.00354,0.00564,0.00866,0.0032,0.00404,0.00695,0.0116
RW,0.09567,0.10895,0.12177,0.13792,0.1397,0.14375,0.13753,0.119,0.1134,0.12385,0.12855,0.12523
R1,0.25404,0.3186,0.39331,0.4786,0.21927,0.24398,0.25323,0.22828,0.23524,0.27623,0.30667,0.30315
R2,0.04369,0.05508,0.07955,0.11372,0.03747,0.04199,0.05106,0.05453,0.04032,0.04763,0.0619,0.07224
R3,0.0107,0.01407,0.02292,0.03709,0.00919,0.01065,0.01447,0.01765,0.00988,0.01212,0.01768,0.02353
RL,0.22328,0.29117,0.36373,0.44621,0.19266,0.22296,0.23392,0.21251,0.20673,0.25244,0.28345,0.28243
RSU,0.06463,0.09782,0.14352,0.21082,0.04833,0.05987,0.06981,0.0667,0.05519,0.07417,0.09238,0.09526
RS,0.05624,0.09249,0.14021,0.20871,0.0418,0.05633,0.06794,0.06574,0.04785,0.06991,0.09002,0.09405


P
R4,0.0076,0.00981,0.01558,0.03169,0.00702,0.0075,0.00982,0.01393,0.00729,0.0085,0.01204,0.01933
RW,0.09983,0.11631,0.12958,0.15316,0.15069,0.15368,0.14103,0.12078,0.11984,0.13229,0.13493,0.13492
R1,0.27213,0.34821,0.4227,0.5266,0.24229,0.26678,0.26224,0.2304,0.25604,0.30197,0.32355,0.32036
R2,0.05434,0.06921,0.08952,0.1432,0.049,0.05295,0.05551,0.0626,0.05147,0.05996,0.0685,0.08706
R3,0.01674,0.02056,0.02861,0.05586,0.01534,0.01573,0.01787,0.02446,0.01599,0.01781,0.02198,0.034
RL,0.23051,0.3108,0.38403,0.49119,0.20524,0.23814,0.23816,0.21494,0.21688,0.26954,0.29388,0.29885
RSU,0.07379,0.11556,0.16473,0.24666,0.05965,0.07086,0.07472,0.06691,0.06567,0.0877,0.10266,0.1051
RS,0.06501,0.10991,0.16131,0.24446,0.05245,0.06708,0.07292,0.06612,0.05778,0.08316,0.10029,0.10393


R
R4,0.01504,0.0154,0.01664,0.01572,0.01794,0.01315,0.01099,0.01194,0.01599,0.01412,0.0132,0.01336
RW,0.10112,0.11392,0.12417,0.10958,0.16824,0.16498,0.15314,0.15563,0.12415,0.13397,0.13609,0.12533
R1,0.25942,0.33525,0.39771,0.37423,0.25506,0.28055,0.27927,0.29392,0.25303,0.30359,0.32569,0.32054
R2,0.0567,0.06891,0.09116,0.08957,0.05892,0.05862,0.06299,0.07021,0.0567,0.06285,0.07399,0.07673
R3,0.02402,0.02588,0.03148,0.03036,0.02666,0.02216,0.02112,0.02313,0.02474,0.02372,0.02517,0.02575
RL,0.23051,0.3023,0.36832,0.34979,0.22614,0.25319,0.25862,0.27465,0.22462,0.27386,0.30164,0.29961
RSU,0.07,0.10798,0.146,0.12503,0.07098,0.07895,0.08352,0.10262,0.06598,0.08906,0.10337,0.10271
