ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00354,0.00389,0.00853,0.01002,0.00307,0.003,0.00503,0.00479,0.00328,0.00338,0.00631,0.00637
RW,0.08974,0.09959,0.11535,0.12467,0.13484,0.13717,0.13042,0.11215,0.10764,0.11521,0.12192,0.1159
R1,0.25441,0.30272,0.37495,0.43745,0.22101,0.23954,0.24048,0.21961,0.23642,0.26701,0.2918,0.2875
R2,0.03989,0.0445,0.06586,0.08457,0.03486,0.03528,0.04189,0.04226,0.03719,0.03928,0.05099,0.05536
R3,0.01192,0.01176,0.01814,0.02313,0.01045,0.00929,0.0112,0.01132,0.01113,0.01036,0.01379,0.01494
RL,0.21305,0.27165,0.34737,0.41171,0.18497,0.21481,0.22267,0.20681,0.19793,0.23951,0.27025,0.27068
RSU,0.06565,0.0866,0.13054,0.17775,0.05009,0.05647,0.06208,0.06121,0.05672,0.06802,0.08334,0.0867
RS,0.05722,0.0814,0.12727,0.17566,0.04348,0.05289,0.06035,0.06036,0.04932,0.06379,0.08108,0.08553


2
R4,0.0209,0.02216,0.02301,0.02835,0.01781,0.01641,0.01487,0.01962,0.01923,0.01883,0.01802,0.02258
RW,0.10963,0.1159,0.13078,0.12678,0.16338,0.15771,0.14819,0.14944,0.13112,0.13344,0.13832,0.13348
R1,0.29978,0.34647,0.4289,0.44221,0.25823,0.27101,0.27547,0.29108,0.27736,0.30369,0.33401,0.34243
R2,0.07483,0.07673,0.09964,0.11601,0.06416,0.05906,0.06395,0.07694,0.06906,0.06666,0.07761,0.09008
R3,0.03521,0.03488,0.04044,0.0483,0.03004,0.02632,0.02592,0.03233,0.03241,0.02996,0.03149,0.03767
RL,0.2534,0.30979,0.39211,0.4088,0.21835,0.24235,0.25195,0.26922,0.23449,0.27156,0.30544,0.31665
RSU,0.09225,0.11623,0.16931,0.17534,0.0687,0.07316,0.08037,0.10023,0.07865,0.08943,0.10786,0.11644
RS,0.0829,0.1107,0.16585,0.1732,0.06137,0.06933,0.07847,0.09885,0.07043,0.08491,0.10542,0.11483


L
R4,0.0142,0.01583,0.02208,0.03536,0.01247,0.01264,0.01383,0.01692,0.01327,0.01404,0.01695,0.02277
RW,0.09173,0.11172,0.13002,0.14979,0.1537,0.15704,0.14913,0.1265,0.11413,0.13035,0.13832,0.13577
R1,0.24758,0.33437,0.42136,0.51501,0.24186,0.27004,0.27404,0.24271,0.24322,0.29827,0.33062,0.32727
R2,0.05149,0.06728,0.09851,0.14357,0.04912,0.05412,0.06384,0.06773,0.04998,0.05988,0.07715,0.09134
R3,0.02133,0.02591,0.03786,0.05931,0.01938,0.02085,0.02418,0.02824,0.02025,0.02307,0.0294,0.03802
RL,0.21057,0.29674,0.38548,0.48217,0.20499,0.23946,0.25065,0.22721,0.20654,0.26459,0.30242,0.30639
RSU,0.06672,0.10974,0.16575,0.24369,0.06262,0.07437,0.08038,0.07379,0.06314,0.0882,0.10714,0.11113
RS,0.05856,0.10433,0.16233,0.24151,0.05449,0.07045,0.07847,0.07296,0.05515,0.08366,0.10469,0.10993


M
R4,0.00944,0.00877,0.01376,0.02825,0.00822,0.00661,0.00889,0.01399,0.00879,0.00754,0.01076,0.01861
RW,0.09418,0.10569,0.11811,0.14342,0.14074,0.1464,0.1387,0.12764,0.11272,0.12254,0.12692,0.13367
R1,0.25126,0.31556,0.38533,0.49682,0.21784,0.25106,0.25659,0.24602,0.23318,0.27911,0.30644,0.32636
R2,0.04329,0.05127,0.07591,0.12501,0.03761,0.04042,0.05026,0.06204,0.04023,0.04512,0.06018,0.08229
R3,0.01492,0.01644,0.02577,0.04752,0.01306,0.01267,0.01697,0.02363,0.01392,0.01429,0.02038,0.03136
RL,0.21991,0.28404,0.35318,0.4618,0.19057,0.22614,0.23531,0.22914,0.20403,0.25132,0.28096,0.3038
RSU,0.0643,0.09456,0.13843,0.2234,0.04867,0.06182,0.07063,0.0742,0.05526,0.07435,0.09227,0.10899
RS,0.05592,0.08922,0.13511,0.22118,0.04209,0.05807,0.06874,0.0733,0.0479,0.06996,0.08988,0.10772


N
R4,0.0078,0.0116,0.0177,0.02836,0.00624,0.00812,0.01038,0.01221,0.00693,0.00954,0.01305,0.01696
RW,0.09679,0.11021,0.12816,0.14742,0.13025,0.13801,0.13271,0.11285,0.11098,0.12237,0.12988,0.12652
R1,0.2731,0.33794,0.41826,0.51719,0.21273,0.24277,0.24548,0.22121,0.23907,0.28215,0.3082,0.3075
R2,0.0486,0.06493,0.09332,0.13417,0.03802,0.04635,0.0547,0.05719,0.04264,0.05401,0.06871,0.07956
R3,0.01474,0.02221,0.03366,0.05163,0.01169,0.01573,0.01965,0.02199,0.01304,0.0184,0.02473,0.0306
RL,0.22803,0.29502,0.38239,0.48088,0.17776,0.21182,0.22443,0.20565,0.1997,0.24624,0.28178,0.28588
RSU,0.06967,0.10826,0.15982,0.24357,0.04284,0.0579,0.06316,0.06019,0.05298,0.07515,0.08977,0.09475
RS,0.06053,0.10278,0.15636,0.24138,0.03693,0.05463,0.06154,0.05947,0.0458,0.07106,0.08756,0.09367


O
R4,0.01065,0.00966,0.01191,0.02053,0.00928,0.00756,0.00762,0.00991,0.00991,0.00848,0.00926,0.01329
RW,0.0936,0.10577,0.12022,0.13789,0.1397,0.14485,0.13962,0.12313,0.112,0.12208,0.12841,0.12659
R1,0.25393,0.31942,0.3961,0.48024,0.21929,0.25058,0.2602,0.2399,0.23526,0.28041,0.31212,0.31237
R2,0.04585,0.05423,0.07769,0.11168,0.03955,0.0426,0.05067,0.05535,0.04245,0.04765,0.06098,0.07247
R3,0.01567,0.01607,0.02352,0.03856,0.01364,0.01265,0.01514,0.01864,0.01458,0.01414,0.01834,0.02483
RL,0.21943,0.28712,0.36333,0.44769,0.1893,0.22542,0.23876,0.22286,0.20318,0.25216,0.28639,0.29058
RSU,0.0673,0.09744,0.14824,0.21637,0.0506,0.06234,0.073,0.07134,0.05769,0.0757,0.09608,0.09985
RS,0.05897,0.09214,0.14493,0.21424,0.04411,0.05872,0.0711,0.07035,0.05039,0.0714,0.09368,0.09862


P
R4,0.00892,0.01317,0.01695,0.03256,0.00804,0.01018,0.01052,0.01489,0.00845,0.01147,0.01295,0.0203
RW,0.09534,0.11286,0.12906,0.15052,0.14658,0.1541,0.14448,0.12446,0.11539,0.13013,0.13579,0.13487
R1,0.26783,0.34488,0.42278,0.52087,0.23801,0.27061,0.26852,0.24027,0.25178,0.30286,0.32714,0.32627
R2,0.05032,0.07027,0.09207,0.14114,0.04521,0.0548,0.05788,0.06465,0.04758,0.0615,0.07082,0.08799
R3,0.01747,0.02425,0.03226,0.05682,0.01582,0.01886,0.02005,0.02588,0.01659,0.02119,0.02465,0.03531
RL,0.22397,0.30428,0.38357,0.48489,0.1992,0.23879,0.24365,0.22368,0.21064,0.26724,0.29682,0.30374
RSU,0.07258,0.11326,0.16636,0.25044,0.0583,0.0724,0.07703,0.07257,0.0644,0.08801,0.10436,0.11045
RS,0.06393,0.10772,0.16294,0.24827,0.05122,0.06858,0.07519,0.07176,0.05664,0.08349,0.10197,0.10928


R
R4,0.01462,0.01124,0.02031,0.01996,0.01868,0.00962,0.01401,0.01612,0.01601,0.01033,0.01649,0.01741
RW,0.09706,0.10847,0.12232,0.10976,0.16656,0.16133,0.15593,0.1628,0.12076,0.12901,0.13551,0.1261
R1,0.25755,0.32965,0.39931,0.37807,0.25402,0.28168,0.28761,0.31192,0.25179,0.302,0.3303,0.32862
R2,0.05404,0.06302,0.0912,0.09313,0.05719,0.05467,0.0657,0.07755,0.05446,0.05815,0.07553,0.08159
R3,0.02206,0.02049,0.03428,0.03521,0.02569,0.01752,0.02402,0.02854,0.02319,0.01881,0.02804,0.03065
RL,0.22374,0.29422,0.36639,0.35257,0.22089,0.25162,0.26418,0.29045,0.21885,0.26968,0.30326,0.30616
RSU,0.06953,0.10419,0.14867,0.13215,0.07201,0.07909,0.08766,0.113,0.06614,0.08796,0.10612,0.10642
