ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00413,0.00539,0.00539,0.00868,0.00358,0.00466,0.00466,0.00466,0.00383,0.00499,0.005,0.00603
RW,0.08924,0.09796,0.10413,0.13405,0.13331,0.14638,0.15621,0.12714,0.10677,0.11727,0.1249,0.12976
R1,0.24532,0.29697,0.34948,0.46243,0.21426,0.25717,0.30288,0.25217,0.22865,0.27554,0.32446,0.32448
R2,0.03964,0.04765,0.05941,0.08681,0.03466,0.04118,0.05147,0.04708,0.03697,0.04416,0.05515,0.06072
R3,0.012,0.01356,0.01445,0.02227,0.01049,0.01173,0.01251,0.01202,0.01119,0.01258,0.01341,0.01553
RL,0.2095,0.26663,0.32548,0.43425,0.18285,0.23085,0.28204,0.23698,0.19518,0.24736,0.30216,0.30483
RSU,0.06266,0.08565,0.11939,0.21021,0.04829,0.06454,0.08998,0.06323,0.05446,0.0735,0.10255,0.09529
RS,0.05451,0.0809,0.1168,0.20778,0.04184,0.06079,0.0879,0.06221,0.04727,0.06931,0.10024,0.09386


2
R4,0.02825,0.02194,0.02375,0.03051,0.02435,0.0187,0.02055,0.02217,0.02614,0.02018,0.02202,0.02527
RW,0.11214,0.11387,0.12292,0.13686,0.16637,0.16944,0.18423,0.17127,0.13386,0.13611,0.14735,0.15005
R1,0.30495,0.343,0.40927,0.4712,0.26452,0.29511,0.35444,0.33893,0.28317,0.31712,0.37973,0.38883
R2,0.08377,0.07933,0.10048,0.12477,0.07262,0.06821,0.08699,0.08897,0.07776,0.07332,0.09321,0.10239
R3,0.04332,0.03511,0.04103,0.05152,0.03736,0.03002,0.03545,0.037,0.0401,0.03235,0.03802,0.04243
RL,0.26089,0.30628,0.37607,0.43364,0.2265,0.26346,0.32565,0.31197,0.24237,0.28314,0.3489,0.35787
RSU,0.09762,0.11608,0.16007,0.21431,0.07385,0.08615,0.12026,0.11064,0.08395,0.09872,0.13712,0.13877
RS,0.08838,0.11099,0.15727,0.21183,0.0665,0.08212,0.11798,0.10899,0.07577,0.09423,0.13461,0.13681


L
R4,0.01013,0.01541,0.01684,0.03181,0.00942,0.01363,0.01478,0.01622,0.00976,0.01446,0.01574,0.02148
RW,0.09121,0.10977,0.119,0.15619,0.15249,0.16814,0.1813,0.13939,0.11348,0.13274,0.14362,0.14727
R1,0.24439,0.33186,0.39435,0.5323,0.24098,0.29388,0.34702,0.2733,0.24128,0.31159,0.36908,0.36111
R2,0.04625,0.06824,0.08985,0.14115,0.0453,0.06017,0.07903,0.07232,0.04551,0.06393,0.08407,0.09563
R3,0.01522,0.02651,0.03167,0.0551,0.01438,0.02336,0.02778,0.02817,0.01476,0.02482,0.02959,0.03727
RL,0.21055,0.29368,0.36316,0.49504,0.20673,0.2601,0.31958,0.25418,0.20753,0.27576,0.33989,0.33585
RSU,0.06288,0.10613,0.14838,0.27072,0.06055,0.08358,0.11529,0.07168,0.06038,0.09337,0.12963,0.11331
RS,0.05476,0.10103,0.14561,0.2682,0.05236,0.07938,0.113,0.07069,0.05238,0.08877,0.12712,0.11185


M
R4,0.00248,0.00712,0.01181,0.02469,0.00217,0.0061,0.01088,0.01339,0.00231,0.00656,0.01131,0.01736
RW,0.09073,0.104,0.10868,0.15008,0.13583,0.15649,0.16979,0.14158,0.10865,0.12479,0.13234,0.14563
R1,0.24808,0.31353,0.36705,0.51207,0.21684,0.27393,0.33152,0.27819,0.23123,0.29217,0.348,0.36043
R2,0.04036,0.0536,0.07239,0.12583,0.03527,0.0467,0.06616,0.06838,0.03762,0.04988,0.06905,0.08859
R3,0.00835,0.01581,0.02318,0.04416,0.00733,0.01366,0.02135,0.02401,0.0078,0.01465,0.0222,0.0311
RL,0.21334,0.28191,0.33619,0.47364,0.18652,0.24629,0.3037,0.25731,0.19887,0.2627,0.31877,0.33337
RSU,0.05979,0.09233,0.12918,0.25152,0.04594,0.07052,0.10642,0.07461,0.05181,0.07973,0.11617,0.11499
RS,0.05145,0.08734,0.1265,0.249,0.03931,0.0665,0.10413,0.07355,0.04444,0.07528,0.11371,0.11346


N
R4,0.00915,0.01335,0.01896,0.03371,0.00716,0.01056,0.01506,0.01565,0.00803,0.01179,0.01678,0.02137
RW,0.09969,0.10887,0.11992,0.15826,0.13337,0.14863,0.16474,0.1283,0.11399,0.12556,0.13871,0.14166
R1,0.28294,0.33473,0.40174,0.54068,0.22142,0.26416,0.31882,0.25216,0.2483,0.29514,0.3554,0.34389
R2,0.0541,0.06785,0.09269,0.14405,0.04223,0.05358,0.07357,0.06707,0.04741,0.05985,0.08201,0.09151
R3,0.01791,0.02462,0.03448,0.05819,0.01402,0.01947,0.02738,0.02705,0.01572,0.02174,0.03052,0.03693
RL,0.2313,0.29316,0.36896,0.50114,0.18107,0.2313,0.29277,0.23372,0.20302,0.25846,0.32638,0.31874
RSU,0.07469,0.10669,0.15212,0.27836,0.04633,0.06689,0.09622,0.06087,0.05708,0.08209,0.11775,0.09986
RS,0.06545,0.10157,0.14931,0.27583,0.04027,0.06341,0.09423,0.06001,0.04977,0.07794,0.11542,0.09854


O
R4,0.00488,0.00586,0.01236,0.02232,0.00427,0.00519,0.01087,0.01157,0.00455,0.0055,0.01156,0.01519
RW,0.09243,0.10255,0.11245,0.1443,0.13699,0.15228,0.17332,0.13781,0.11025,0.12245,0.13589,0.13825
R1,0.24751,0.31111,0.37612,0.4961,0.2149,0.26721,0.33422,0.27224,0.22994,0.28735,0.35248,0.34421
R2,0.04087,0.05029,0.07553,0.11599,0.03537,0.04348,0.06728,0.06295,0.0379,0.04661,0.07086,0.08012
R3,0.01132,0.01301,0.0245,0.04114,0.00984,0.01135,0.02171,0.02182,0.01052,0.01211,0.02295,0.02819
RL,0.21511,0.2798,0.34773,0.46102,0.18664,0.24036,0.30892,0.25279,0.19976,0.25846,0.32583,0.31973
RSU,0.06211,0.09408,0.13713,0.24246,0.04706,0.06972,0.1081,0.07311,0.05344,0.07994,0.11918,0.10424
RS,0.05392,0.0892,0.13445,0.24001,0.04062,0.06592,0.1058,0.07194,0.04623,0.07567,0.11673,0.10275


P
R4,0.007,0.01356,0.01712,0.03274,0.00621,0.01173,0.01466,0.01632,0.00658,0.01258,0.01579,0.02178
RW,0.09998,0.11468,0.12205,0.15919,0.15283,0.17055,0.18088,0.13882,0.12066,0.13702,0.14565,0.14827
R1,0.27552,0.34671,0.40941,0.54308,0.24669,0.29816,0.35076,0.27252,0.25999,0.32045,0.3777,0.36288
R2,0.05377,0.07364,0.09214,0.14607,0.04854,0.06349,0.07886,0.07314,0.05097,0.06815,0.08495,0.09746
R3,0.01666,0.02584,0.03187,0.05802,0.01497,0.02229,0.02724,0.02899,0.01576,0.02392,0.02936,0.03866
RL,0.23285,0.30881,0.37532,0.50364,0.20824,0.26549,0.32147,0.25278,0.2196,0.28538,0.3462,0.33657
RSU,0.07488,0.11347,0.16031,0.28454,0.06115,0.08443,0.11803,0.07205,0.06702,0.09663,0.13578,0.11494
RS,0.06602,0.10823,0.1575,0.28204,0.05382,0.0803,0.11579,0.07108,0.05903,0.09201,0.13329,0.11351


R
R4,0.01396,0.01349,0.0186,0.0182,0.0177,0.01301,0.01717,0.016,0.01527,0.01317,0.01781,0.0168
RW,0.09725,0.10831,0.1141,0.11694,0.16547,0.17574,0.19179,0.18421,0.12067,0.13324,0.14213,0.13973
R1,0.25978,0.32656,0.37633,0.39771,0.25794,0.30608,0.36497,0.35979,0.25484,0.31401,0.36803,0.36844
R2,0.05433,0.06674,0.08872,0.0946,0.05757,0.06344,0.08533,0.08527,0.0549,0.06454,0.08643,0.08762
R3,0.02139,0.02315,0.03253,0.03342,0.02464,0.02216,0.03046,0.02957,0.02243,0.02248,0.03133,0.03081
RL,0.22365,0.29259,0.34955,0.37071,0.22157,0.2743,0.33904,0.33508,0.21925,0.28138,0.34187,0.3433
RSU,0.06999,0.10314,0.13707,0.1587,0.07312,0.09111,0.12734,0.12609,0.06706,0.09443,0.12873,0.12841
